Facilityid,Sitenumber,Facilityname,Facilityaddress1,Facilityaddress2,Facilitycity,Facilityzip,Facilitycounty,Casemanager,Section,Casedescription,Cause,Discoverydate,Currentstatus,Productreleased,Company,Ownercontact,Caccontact,Contacttitle,Caccompany,Howdiscovered
2479041,1,PLANTATION PIPELINE,,,Knoxville,,Knox,Steve Wilson,FO,,7 Unknown,DEC-03-1991,8 Case Closed,,,,,,,8 Other
2479049,1,Massey Electric Spring,3817 West Martin Mill Pike,,Knoxville,,Knox,Susan Watts,LT,,,,8 Case Closed,,,,,,,
2479078,1,Airplane Gas Station,6819 Clinton Highway,,Knoxville,,Knox,Steve Wilson,FO,,7 Unknown,FEB-22-2005,1a Completed Tank Closure,,,,,,,1 At Closure
2479078,2,Airplane Filling Station,6829 Clinton Highway,,Knoxville,,Knox,Susan Watts,LT - SL,,,,1a Completed Tank Closure,,,,,,,
2479080,1,Abandoned Facility,4416 Strawberry Plains Pike,,Knoxville,,Knox,Wayne Clifford,FO,Complaint of oil substance in ditch,,,8 Case Closed,,,,,,,
2479081,1,James Gates Property,204 W. Young High Pike,,Knoxville,37920,Knox,Steve Wilson,FO,,7 Unknown,JAN-08-2008,1a Completed Tank Closure,,,,,,,7 Environmental Audit
2479085,1,Thunder Road Hair Cutters,5228 Court Drive,,Knoxville,37919,Knox,Wayne Clifford,FO,Kerosene odor Complaint.,1 Spill,FEB-01-2009,8 Case Closed,,,,,,,
2479088,1,Express Tire And Battery,2218 N Central Street,,Knoxville,37917,Knox,Rick Huchison,FO,inquiry about this facility with an out of service UST system,,,8 Case Closed,,,,,,,
2479092,1,Former UST Facility,5217 Strawberry Plains Pike,,Knoxville,37922,Knox,Rick Huchison,FO,,,,0a Suspected Release - Closed,,,,,,,8 Other
2479093,1,James Shelton Residence,5211 Asheville Highway,,Knoxville,37914,Knox,Rick Huchison,FO,complaint of kerosene odors inside residence,,,8 Case Closed,,,,,,,
2530003,1,AZTEX #1,NEW HIGHWAY 95 & 321,,Lenoir City,38047,Loudon,Adam Smith,FO,,7 Unknown,SEP-19-2000,8 Case Closed,,Aztex Enterprises, ,,,,7 Environmental Audit
2530005,1,BAKER SUNOCO,1103 HWY 321 NORTH,,Lenoir City,37771,Loudon,Debbie Mann,TECH,,5 Pipe Failure,APR-06-1992,8 Case Closed,,CALLOWAY OIL COMPANY, ,,,,2 Release Detection
2530005,2,E-Z STOP FOOD MART # 7,1103 HWY 321 NORTH,,Lenoir City,37771,Loudon,Ryan Hyers,FO,closing lines only,,,1a Completed Tank Closure,,CALLOWAY OIL COMPANY, ,,,,
2530005,3,E-Z STOP FOOD MART # 7,1103 HWY 321 NORTH,,Lenoir City,37771,Loudon,Ryan Hyers,FO,closing 3 tanks,,,1a Completed Tank Closure,,CALLOWAY OIL COMPANY, ,,,,
2530005,4,EZ Stop Food Mart #7,1103 Highway 321 North,,Lenoir City,37771,Loudon,,FO, Truck hit dispenser,,,8 Case Closed,,,,,,,8 Other
2530006,1,BIMBO'S INC,1204 HWY 321 NORTH,,Lenoir City,37771,Loudon,Ryan Hyers,FO,,,,1a Completed Tank Closure,,EDDIE SIMPSON & ED BOLING, ,,,,
2530006,2,BIMBO'S INC,1204 HWY 321 NORTH,,Lenoir City,37771,Loudon,Wayne Clifford,FO,ATG and water discovered T-3A & T-3B,,AUG-17-2004,8 Case Closed,,EDDIE SIMPSON & ED BOLING, ,,,,
2530007,1,Wayne's World,1098 East  Lee Highway,,Loudon,37774,Loudon,Rick Huchison,FO,Unapproved Closure,,,1a Completed Tank Closure,,MILAS ANDERSON ETUX. SHIRLEY, ,,,,
2530012,1,CEDAR HILLS GOLF CLUB INC,RT #4 BEALS CHAPEL RD,,Lenoir City,38047,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,CEDAR HILLS GOLF CLU, ,,,,
2530014,1,CITY GARAGE,HIGHLAND AVE,,Loudon,37774,Loudon,Adam Smith,FO,,7 Unknown,MAY-20-1997,8 Case Closed,,CITY OF LOUDON, , ,,"SEI Environmental, Inc.",1 At Closure
2530017,1,CONVENIENT FOOD MART #470,809 MULBERRY ST,,Loudon,37774,Loudon,Wayne Clifford,FO,,5 Pipe Failure,DEC-01-1994,8 Case Closed,,REMOTE SERVICES INC, , ,,"Groundwater Technology, Inc.",
2530017,2,CONVENIENT FOOD MART #470,809 MULBERRY ST,,Louden,37774,Loudon,Ravendra Awasthi,FO,"Suspected Release, Case # 2",7 Unknown,MAR-13-1997,8 Case Closed,,REMOTE SERVICES INC, ,,,,2 Release Detection
2530018,1,COUNTRY CORNER,P O BOX 15595,,Greenback,37801,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,CALLOWAY OIL COMPANY, ,,,,
2530020,1,THE CUPBOARD,95 HIGHLAND,,Loudon,37774,Loudon,Wayne Clifford,FO,,7 Unknown,APR-19-1999,8 Case Closed,,TRANSGLOBAL GAS & OIL CO DBA BRE, ,,,,1 At Closure
2530020,2,THE CUPBOARD,600 Highland,,Loudon,37774,Loudon,Wayne Clifford,FO,Fund Eligibility Site Check,,,8 Case Closed,,,,,,,
2530027,1,E T MART,I-75 AT HWY 72,,Loudon,37774,Loudon,Wayne Clifford,FO,,7 Unknown,APR-17-1998,8 Case Closed,,RANDY & CAROLINE SYN, ,,,,1 At Closure
2530030,1,Greenback Snack Shack,5647 Morganton Road,,Greenback,37742,Loudon,Rhonda Key,ENF,,,,8 Case Closed,,,,Greg Stephenson,Mr.,"PM Environmental, Inc.",
2530034,2,Gerald Luttrell Texaco S/S,5139 Highway 321 North,,Lenoir City,37771,Loudon,Chris Lewis,FO,Tank and Line Closure,,,1a Completed Tank Closure,,,,,,,
2530035,1,GENTRY'S TEXACO S/S,11665 STEEKEE RD,,Loudon,37774,Loudon,Adam Smith,FO,,7 Unknown,MAR-13-2001,8 Case Closed,,CAROLYN GENTRY, ,,,,2 Release Detection
2530035,2,GENTRY'S,11665 Steekee Road,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,Carolyn G. Moore,Carolyn Moore,,,,
2530036,1,Gourley's Store,650 Highway 95 South,,Greenback,37742,Loudon,Chris Lewis,FO,Removal of tank and associated lines,,,1a Completed Tank Closure,,,,,,,
2530039,1,GREENBACK INDUSTRIES,6621 HWY 411 SOUTH,,Greenback,37742,Loudon,Wayne Clifford,FO,,7 Unknown,AUG-28-1992,8 Case Closed,,GREENBACK INDUSTRIES, , ,,IT Corporation,1 At Closure
2530040,1,EMERALD MARKET,I-75 & HWY 95,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,7 Unknown,SEP-23-1993,8 Case Closed,,DOWNEY OIL CO. INC., , ,,"Associated Environmental, Inc.",7 Environmental Audit
2530040,2,KENJO MKT #27,1104 Hwy. 321 North,,Lenoir City,37771,Loudon,Ryan Hyers,FO,ABOVE GROUND RELEASE,1 Spill,DEC-16-2003,8 Case Closed,,DOWNEY OIL COMPANY/ATTN: LEX, ,,,,3 On-site Impact
2530040,3,KENJO MKT #27,1104 Hwy. 321 North,,Lenoir City,37771,Loudon,Ryan Hyers,FO,,,,8 Case Closed,,DOWNEY OIL COMPANY/ATTN: LEX, ,,,,
2530040,4,Kenjo Market #27,"1104 Highway 321, North",,Lenoir City,37771,Loudon,Chris Lewis,FO,ATG Test Fail for Tank #2 (Regular),,,0a Suspected Release - Closed,,,,,,,
2530042,1,Interstate Shell,1207 HWY. 321 N.,,Lenoir City,37771,Loudon,DLF,FO,Over fill,2 Overfill,JAN-14-2002,8 Case Closed,,INTERSTATE SHELL, , ,,"Jim Miller Excavating Co., Inc.",
2530042,2,Interstate Shell,1207 Highway 321 North,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,7 Unknown,OCT-06-2006,8 Case Closed,,Mr. Ed Boling and Eddie Simpson,Ed Boling,,,,
2530042,3,Interstate Shell,1207 Highway 321 North,,Lenoir City,37771,Loudon,Chris Lewis,FO,,,,1a Completed Tank Closure,,,,,,,
2530050,1,KINGS AUTO PARTS,RT #2 HWY 411 S,,Greenback,37742,Loudon,Wayne Clifford,FO,"Release confirmed on January 7, 2001.",7 Unknown,OCT-19-1992,8 Case Closed,,KINGS AUTO PARTS, , ,,"Jim Miller Excavating Company, Inc.",7 Environmental Audit
2530052,1,LENOIR CITY EXXON,I-75 & ST 321,,Lenoir City,38047,Loudon,Adam Smith,FO,,7 Unknown,MAY-07-1991,8 Case Closed,,"GEORGE MILLER, INC", , ,,"Applied Earth Sciences, Inc.",8 Other
2530052,2,CHIP'S FOOD MART,111 HWY 321 N,,Lenoir City,37771,Loudon,Adam Smith,FO,,6 Mechanical Failure,JUL-18-2002,8 Case Closed,,"GEORGE MILLER, INC", ,,,,3 On-site Impact
2530054,1,Lenoir City Utilities Board,900 Nelson St.,,Lenoir City,37771,Loudon,Chris Lewis,FO,"Removal of Tank 1, 2, and associated lines",,,1a Completed Tank Closure,,,,,,,
2530056,1,Mr. Gas Market #10,1114 Highway 321,,Lenoir City,37771,Loudon,Steve Wilson,FO,,,,1a Completed Tank Closure,,,,,,,
2530057,1,LITTLE M MARKET,11179 EAST LEE HWY,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,DAVID L MOATS, ,,,,
2530058,1,LITTLE M #2,1450 OLD 95 HWY,,Lenoir City,37771,Loudon,Ryan Hyers,FO,,,,1a Completed Tank Closure,,CARL MOATS, ,,,,
2530059,1,LIQUID CARBONIC CO2 CORP,BLAIR BEND INDUST PARK,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,LIQUID CARBONIC CO2, ,,,,
2530062,1,LOUDON COUNTY GARAGE,HALL FERRY RD,,Lenoir City,38047,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,LOUDON COUNTY HWY DE, ,,,,
2530064,1,LOUDON MAINTENANCE STORAGE,KEENE AND VALE ST,,Loudon,37774,Loudon,Wayne Clifford,FO,,7 Unknown,OCT-20-1998,8 Case Closed,,LOUDON UTILITY, ,,,,1 At Closure
2530066,1,LOUDON UTILITIES,GAY ST AND ALMA PLACE,,,,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,LOUDON UTILITIES, ,,,,
2530070,1,MATLOCK BROTHERS SER CTR,HWY 11 NORTH,,Philadelphia,38047,Loudon,Ryan Hyers,FO,,,,8 Case Closed,,SEQUOYAH SER INC, ,,,,
2530071,1,MC CALL WELL DRILLING CO,ROUTE 2 BOX 230 UNITIA RD,,Friendsville,37737,Loudon,Wayne Clifford,FO,,,,8 Case Closed,,MC CALL WELL DRILLING CO, ,,,,
2530076,1,MONTEREY MUSHROOMS INC,P O  BOX 324,,Loudon,37774,Loudon,Wayne Clifford,FO,,7 Unknown,APR-09-1998,8 Case Closed,,MONTEREY MUSHROOMS I, ,,,,1 At Closure
2530078,1,PILOT OIL #148,700 GROVE ST,,Loudon,37774,Loudon,Ryan Hyers,FO,,7 Unknown,JUL-07-2000,8 Case Closed,,PILOT CORPORATION, ,,,,2 Release Detection
2530078,2,PILOT OIL #148,700 GROVE ST,,Loudon,37774,Loudon,DLF,FO,Sir failure Case 2,8 Other,MAR-21-2002,8 Case Closed,,PILOT CORPORATION, ,,,,2 Release Detection
2530078,3,PILOT OIL #148,700 GROVE ST,,Loudon,37774,Loudon,Ryan Hyers,FO,suspected release,,,8 Case Closed,,PILOT CORPORATION, ,,,,
2530078,4,Loudon Market,700 Grove St.,,Loudon,37774,Loudon,Steve Wilson,FO,,,,0a Suspected Release - Closed,,,,,,,2 Release Detection
2530078,5,Loudon Market,700 Grove St.,,Loudon,37774,Loudon,Jane Roach,FO,failed tightness test on TOS diesel tank,,MAR-19-2014,8 Case Closed,,,,Gary  Douglas,Mr.,"US Tanx, LLC",6 Tightness Test
2530078,6,Redskin Inc. 2,700 Grove St.,,Loudon,37774,Loudon,Steve Wilson,FO,,,,1a Completed Tank Closure,,,,,,,
2530079,1,PILOT OIL #212,700 E BROADWAY,,Lenoir City,37771,Loudon,DLF,FO,SIR failure,7 Unknown,FEB-14-2001,8 Case Closed,,PILOT CORPORATION, ,,,,2 Release Detection
2530079,2,PILOT OIL #212,700 E BROADWAY,,Lenoir City,37771,Loudon,Adam Smith,FO,,1 Spill,JUL-02-2001,8 Case Closed,,PILOT CORPORATION, ,,,,8 Other
2530079,3,PILOT OIL #212,700 E BROADWAY,,Lenoir City,37771,Loudon,Ryan Hyers,FO,,,,8 Case Closed,,PILOT CORPORATION, ,,,,
2530079,4,Casey's General Store No. 4220,700 E Broadway St,,Lenoir City,37771-3011,Loudon,Samantha Jollay,FO,,,,1 Tank Closure,,,, ,," Fisher & Arnold, Inc. ",
2530081,1,PURDY BROS TRUCKING CO INC,COMMERCIAL PARK,,Loudon,37774,Loudon,Ryan Hyers,FO,,7 Unknown,JUN-14-1999,8 Case Closed,,PURDY BROS TRUCKING CO INC, ,,,,1 At Closure
2530084,1,BEAN'S QUICK STOP,939 MULBERRY,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,"MCNUTT OIL CO., INC.", ,,,,
2530087,1,BP STATION/TRUCK STOP  #01974,I-40/75 & WATT,,Lenoir City,37777,Loudon,Rick Huchison,FO,,7 Unknown,JUN-05-1990,8 Case Closed,,B P AMOCO OIL COMPANY, ,Mark Luskin,Mr.,Pangean-CMD Associates,1 At Closure
2530088,1,SEAL & FRANK EXXON STATION,300 WHARF ST,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,SEAL & FRANK EXXON STATION, ,,,,
2530090,1,SIMMONS GULF,R R 2 BOX 1,,Philadelphia,37846,Loudon,Wayne Clifford,FO,,7 Unknown,AUG-03-2004,8 Case Closed,,AUTHUR O SIMMONS, ,,,,
2530091,1,SIMPSON'S GROCERY,9279 VONORE RD,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,VIRGIL SIMPSON/SIMPSON'S  GROCER, ,,,,
2530091,2,SIMPSON'S GROCERY,9279 Vonore Road,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
2530092,1,SOUTH CENTRAL LNCYTNMA,315 W BROADWAY,,Lenoir City,38047,Loudon,Wayne Clifford,FO,,7 Unknown,APR-21-1997,8 Case Closed,,SOUTH CENTRAL BELL T, ,,,,1 At Closure
2530095,1,"STOP-N-SHOP MARKET, INC.",16471 HWY 72 N,,Loudon,37774,Loudon,Wayne Clifford,FO,,6 Mechanical Failure,NOV-20-1990,8 Case Closed,,"STOP-N-SHOP MARKET,", ,,,,
2530095,2,Krupa Dipa Corporation dba Stop and Shop,16471 Highway 72 North,,Loudon,37774,Loudon,Chris Lewis,FO,Piping removal and replacement for all tanks at facility ,,,1d Completed Line Closure,,,,,,,
2530096,1,Melton Hill Market and Restaurant #64,12329 Highway 321 North,,Lenoir City,37771,Loudon,Chris Lewis,FO,,,,1a Completed Tank Closure,,,,,,,
2530098,1,"G.T. Oil, Inc.",700 Mulberry St.,,Loudon,37774,Loudon,Rick Huchison,FO,drip under dispenser #14,,JUL-28-2010,8 Case Closed,,TIGER ENTERPRISES INC, ,,,,8 Other
2530099,1,TOM'S EXXON,466 East Lee Highway,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,TIGER ENTERPRISES INC, ,,,,
2530101,1,GEORGE'S CAR SERVICES,909 E. BROADWAY,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,G. L. HALL, ,,,,
2530106,1,RICK'S IGA,20717 West  Lee Highway,,Philadelphia,37846,Loudon,Wayne Clifford,FO,Complaint,,JUN-30-2010,8 Case Closed,,RICK BLANKENSHIP, ,,,,8 Other
2530106,2,RICK'S IGA,20717 West  Lee Highway,,Philadelphia,37846,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
2530109,1,DUTTON GROC,RT 2 BOX 384,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,DUTTON'S GROCERY, ,,,,
2530111,1,RACEWAY #891,613 BROADWAY ST,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,RACETRAC PETROLEUM I, ,,,,
2530112,1,WEIGEL'S #42,310 Highway 95,,Lenoir City,37771,Loudon,Wayne Clifford,FO,Product line closure,,,1d Completed Line Closure,,ROCKET OIL COMPANY, ,,,,
2530112,2,Weigel's #42,390 Highway 321 ,,Lenoir City,37771,Loudon,Gregory Dale Goodin,FO,Complaint of Overfill,,,0a Suspected Release - Closed,,,,,,,
2530116,1,INTERNATIONAL HARBOR CO,14455 ANTIOCH CHURCH RD,,Lenoir City,37771,Loudon,Ryan Hyers,,,,,1a Completed Tank Closure,,DIGITAL  A. V., ,,,,
2530117,1,DON'S RED TOP MARKET,2112 HWY 11 EAST,,Lenoir City,37771,Loudon,Adam Smith,FO,,7 Unknown,SEP-16-2003,8 Case Closed,,DON'S RED TOP MARKET, ,,,,2 Release Detection
2530119,1,TOQUA GOLF COURSE,210 Toqua Clubway,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,TELLICO VILLAGE P.O.A., ,,,,
2530120,1,American Sugarlimb Truck Stop,15048 Hotchkiss Valley Road East,,Loudon,37774,Loudon,Meghan Aronica,LT - SL,,,,1a Completed Tank Closure,,,,Greg Stephenson,Mr.,"PM Environmental, Inc.",
2530122,1,72 Market,18555 Highway 72 South,,Loudon,37774,Loudon,Rick Huchison,FO,Line Closure (lines associated with Tanks 1A-3A),,,1d Completed Line Closure,,,,Jimmy Wingfield,Mr.,Wingfield Environmental,
2530125,1,ROSE GROCERY,24410 HIGHWAY 72 NORTH,,Loudon,37774,Loudon,Ryan Hyers,FO,,,,1a Completed Tank Closure,,JOHN H ROSE, ,,,,
2530126,1,Hutch Manufacturing Co.,200 Commerce St.,,Loudon,37774,Loudon,Chris Lewis,FO,Removal of tank and associated lines,,,1a Completed Tank Closure,,,,,,,
2530127,1,TOAD'S TEXACO,3415 STEEKEE CREEK CREEK  RD.,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,W.B. COSTNER, ,,,,
2530131,1,FIELDS AMOCO,RT# 2 HWY 411S,,Greenback,37742,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,TOM COMPTON, ,,,,
2530133,1,Rodgers-Fore Chevrolet,1272 HWY 321 N,,Lenoir City,37771,Loudon,DLF,FO,,,,1a Completed Tank Closure,,Rodgers-Fore Chevrolet, ,,,,
2530136,1,PARK GROCERY,305 Highway 70,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,,OCT-03-2012,1a Completed Tank Closure,,JERRY PARK, , ,,"PM Environmental, Inc.",
2530137,1,LENOIR CITY STREET DEPARTMENT,SOUTH C STREET,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,6 Mechanical Failure,DEC-20-1989,8 Case Closed,,CITY OF LENOIR CITY, ,,,,1 At Closure
2530140,1,Grizzly Pig Grocery and Deli,19997 West Lee Highway,,Philadelphia,37846,Loudon,Wayne Clifford,FO,ATG failure for Tank#1and Tank#2a,5 Pipe Failure,OCT-24-2005,8 Case Closed,,GRIZZLY PIG GROC.AND DELI, ,,,,
2530143,1,SUPER MART #3,16289 HWY 70 EAST,,Lenoir City,37772,Loudon,Ryan Hyers,FO,,,,8 Case Closed,,EDDIE SIMPSON & ED BOLING, ,,,,
2530143,2,Dixie Lee Shell #49,16289 Highway 70 East,,Lenoir City,37772,Loudon,Rick Huchison,FO,,,,0a Suspected Release - Closed,,,,,,,
2530144,1,"Lehigh Gas Wholesale Services, Inc/TN0020",1109 Highway 321 North,,Lenoir City,37771,Loudon,Rick Huchison,FO,Water with fuel in all 3 STP sumps,,FEB-07-2019,0a Suspected Release - Closed,"Gasoline, Diesel, Jet Fuel, Kerosene",,,Jimmy Wingfield,Mr.,Wingfield Environmental,2 Release Detection
2530145,1,GLENDALE SUPERMARKET,HWY 95 AT UNITIA RD,,Lenoir City,,Loudon,,Reimbursement,,,,8 Case Closed,,,,,,,
2530149,1,Dutton Motors,4920 E. Highway 11,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,7 Unknown,DEC-19-1996,8 Case Closed,,,,,,,1 At Closure
2530150,1,Norfolk Southern Railroad Company,F Street,,Lenoir City,,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
2530151,1,A to Z Trading Post,1421 Old Highway 95,,Lenoir City,37771,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
2530154,1,"GREENBACK CORNER MKT & DELI, INC",6525 HWY 411,,Greenback,37742,Loudon,Wayne Clifford,FO,Diesel spill while filling truck.,1 Spill,SEP-12-2002,8 Case Closed,,GREENBACK CORNER MKT & DELI INC, ,,,,
2530157,1,Murphy USA #7280,905 Highway 321 North,,Lenoir City,37771,Loudon,David Stone,FO,gasoline spill from dispenser #1 hose breakaway,,,0a Suspected Release - Closed,,,,,,,
2530157,2,Murphy USA #7280,905 Highway 321 North,,Lenoir City,37771,Loudon,Chris Lewis,FO,failed line tightness test for Tank 1A,,JAN-30-2018,0a Suspected Release - Closed,Gasoline,,,Brad Moore,Mr.,Fisher Arnold,2 Release Detection
2530158,1,Food City Gas N Go # 632,1477 Highway 72 North,,Loudon,37774,Loudon,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
2530159,1,Paul's Country Store,2361 Oakland Road,,Sweetwater,37874,Loudon,Wayne Clifford,FO,Unapproved closure,,,1a Completed Tank Closure,,,,,,,
2530164,1,Love's Travel Stop #480,9155 Highway 321 North,,Lenoir City,37771,Loudon,Steve Wilson,FO,,,MAY-01-2015,8 Case Closed,,,,,,,8 Other
2620001,1,ALLEN'S 7 TILL 11,RT 4 VONORE RD,,Sweetwater,37874,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,MARTY ALLEN, ,,,,
2620002,1,AMOCO SERVICE CTR,702 N. MAIN ST,,Sweetwater,37874,Monroe,Wayne Clifford,FO,2010188,7 Unknown,APR-11-1996,8 Case Closed,,CRESENT HOSIERY MILL, , ,,"Jim Miller Excavating Company, Inc.",1 At Closure
2620005,1,AZTEX #2,105 S MAIN ST,,Sweetwater,37874,Monroe,Rick Huchison,FO,,7 Unknown,SEP-19-2000,8 Case Closed,,Aztex Enterprises, ,,,,7 Environmental Audit
2620005,2,AZTEX #2,105 S MAIN ST,,Sweetwater,37874,Monroe,Adam Smith,FO,,8 Other,FEB-14-2001,8 Case Closed,,HACKNEY PETROLEUM INC, ,,,,2 Release Detection
2620006,1,FAVORITE MARKET #415,I-75 HWY  68,,Sweetwater,37874,Monroe,Wayne Clifford,FO,,1 Spill,OCT-09-1992,8 Case Closed,,"AZUR LEASING, INC", , ,,"Applied Earth Sciences, Inc.",1 At Closure
2620006,2,Mapco #3695,208 Highway 68,,Sweetwater,37874,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,,,,,,
2620006,3,Weigels No. 86,208 Highway 68,,Sweetwater,37874,Monroe,Rick Huchison,FO,100 to 300 gallon gasoline spill that occurred during fuel drop,,,0a Suspected Release - Closed,,,,,,,3 On-Site Impact
2620007,1,B & B MKT,5830 HIGHWAY 360,,Tellico Plains,37385,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,W. F. & JAMES B. BIV, ,,,,
2620007,2,B and B Market and Trucking of Tellico,5830 Highway 360,,Tellico Plains,37385,Monroe,Susan Watts,LT - SL,,,NOV-28-2023,3 Release Investigation,,,,Jimmy Wingfield,,"Wingfield Environmental, Inc.",
2620010,1,BEAMERS DELI,HWY  68 WEST,,Sweetwater,37874,Monroe,Wayne Clifford,FO,,3 Human Error,JUN-20-1998,8 Case Closed,,SWEETWATER VALLEY OI, ,,,,8 Other
2620013,1,BILL SLOAN SUPPLY,BALL PLAY RD,,Madisonville,37354,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,SWEETWATER VALLEY OI, ,,,,
2620015,1,BALL PLAY COUNTRY STORE,4440 Highway 360,,Vonore,37885,Monroe,Wayne Clifford,FO,Illegal closure.,,,1a Completed Tank Closure,,WAYNE BIVENS, ,,,,
2620016,1,BLAKE BRITTON,122 Laurel Creek Road,,Madisonville,37354,Monroe,Ryan Hyers,FO,,,,8 Case Closed,,BLAKE BRITTON, ,,,,
2620020,1,C & R MARKET, 216 BALL PLAY ROAD,,Madisonville,37354,Monroe,DLF,FO,SIR FAILURE,8 Other,AUG-29-2002,8 Case Closed,,HACKNEY PETROLEUM INC, ,,,,8 Other
2620020,2,C AND R MARKET, 216 Ball Play Road,,Madisonville,37354,Monroe,Wayne Clifford,FO,Suspected release,,,8 Case Closed,,"HACKNEY PETROLEUM, INC.", ,,,,
2620020,3,C and R Market,216 Ball Play Road,,Madisonville,37354,Monroe,Steve Wilson,FO,,,AUG-20-2014,8 Case Closed,,,,,,,2 Release Detection
2620020,4,C and R Market,216 Ball Play Road,,Madisonville,37354,Monroe,Chris Lewis,FO,Tank #2A (Regular) had failing SIR result for October 2016,,,0a Suspected Release - Closed,,,,,,,
2620020,5,C and R Market,216 Ball Play Road,,Madisonville,37354,Monroe,Chris Lewis,FO,Tank #2A (Regular) had failing SIR result for November 2016,,,0a Suspected Release - Closed,,,,,,,
2620020,6,C and R Market,216 Ball Play Road,,Madisonville,37354,Monroe,Chris Lewis,FO,Tank #2A (Regular) had failing SIR result for December 2016,,,0a Suspected Release - Closed,,,,,,,
2620020,7,C and R Market,216 Ball Play Road,,Madisonville,37354,Monroe,Chris Lewis,FO,Tank #2A (Regular) had failing SIR result for January 2017,,,0a Suspected Release - Closed,,,,,,,
2620020,8,C and R Market,216 Ball Play Road,,Madisonville,37354,Monroe,Kyle Beverly,FO,"Tank 1A (6,000 Regular) had a failing SIR result from April 2019.",,,0a Suspected Release - Closed,,,,,,,2 Release Detection
2620029,1,DELADE HAMILTON,HWY 68,,Tellico Plains,37385,Monroe,Ryan Hyers,FO,,,,8 Case Closed,,DELADE AND CONNIE HAMILTON, ,,,,
2620029,2,DELADE HAMILTON,412 Veterans Memorial Drive,,Tellico Plains,37385,Monroe,Wayne Clifford,FO,,,OCT-03-2012,8 Case Closed,,,, ,,"PM Environmental, Inc.",
2620030,1,DALTON FULL SERVICE,13465 Hwy 68,,Coker Creek,37314,Monroe,Carl Carlson,LT - SL,,,,1a Completed Tank Closure,,"SHANKLE OIL CO., INC.-Leonard Ro", , ,,"PM Environmental, Inc.",
2620031,1,DAVID WEST,R R #2 BOX 278,,Tellico Plains,37385,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,DAVID WEST, ,,,,
2620032,1,DEE'S UNION 76,STAR RT,,Cokercreek,37314,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,"SHANKLE OIL CO., INC.-Leonard Ro", ,,,,
2620033,1,JOE CURTIS,408 Veterans Memorial Drive,,Tellico Plains,37385,Monroe,Wayne Clifford,FO,Abandoned Facilities Project,,,1a Completed Tank Closure,,DELADE AND CONNIE HAMILTON, , ,,"PM Environmental, Inc.",
2620036,1,DINNER BELL RESTAURANT,576 OAKLAND RD,,Sweetwater,37874,Monroe,Wayne Clifford,FO,,,,1a Completed Tank Closure,,MONTOOTH ENTERPRISES INC, ,,,,
2620040,1,Sweetwater no. 1,725 North Main St.,,Sweetwater,37874,Monroe,Rick Huchison,FO,groundwater naphthalene exceeding drinking water ISLs from temporary piezometer,,,0a Suspected Release - Closed,,,,Brian  Watson,Mr.,"Terracon Consultants, Inc",7 Environmental Audit
