Facility ID,Tank IDAssociatedwith Release,LUSTID,Federally Reportable Release,Site Name,Site Address,Site Address2,Site City,Zipcode,County,State,EPARegion,Facility Type,Tribal Site,Tribe,Latitude,Longitude,Coordinate Source,LUSTStatus,Reported Date,NFADate,Media Impacted Soil,Media Impacted Groundwater,Media Impacted Surface Water,Substance Released1,Quantity Released1,Unit1,Substance Released2,Quantity Released2,Unit2,Substance Released3,Quantity Released3,Unit3,Substance Released4,Quantity Released4,Unit4,Substance Released5,Quantity Released5,Unit5,Source Of Release1,Cause Of Release1,Source Of Release2,Cause Of Release2,Source Of Release3,Cause Of Release3,How Release Detected,Corrective Action Strategy1,Corrective Action Strategy1Start Date,Corrective Action Strategy2,Corrective Action Strategy2Start Date,Corrective Action Strategy3,Corrective Action Strategy3Start Date,Closed With Contamination,No Further Action Letter URL,Military Do DSite
2000352,,2006030,Yes,EXXON SS#2-8283,2150 M ST NW,,Washington DC,20037,,DC,3,Retail fuel sales (non-marina),,,38.90497264,-77.04846502,,No further action,2006-03-20,2008-08-05,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000541,,2006031,Yes,FORMER DIPLOMAT PARKING CORPORATION,"1618 L ST NW
1602 L ST NW",,Washington DC,20036,,DC,3,Commercial,,,38.90352083,-77.03722626,Geocoded address,No further action,2005-12-12,2006-05-22,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000512,,2006032,Yes,HERTZ RENT A CAR,901 11TH ST NW,,Washington DC,20001,,DC,3,Auto dealership/auto maintenance & repair,,,38.90168168,-77.02667375,Geocoded address,No further action,2005-05-15,2007-08-01,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000012,,2006036,Yes,GEORGE GALICH,2125 14TH ST NW,,Washington DC,20009,,DC,3,Retail fuel sales (non-marina),,,38.91858605,-77.03162339,Geocoded address,No further action,2006-06-15,2008-09-12,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000449,,2006037,Yes,DHCD WAREHOUSE,59 M ST NE,,Washington DC,20002,,DC,3,Commercial,,,38.90536969,-77.00650896,Geocoded address,No further action,2006-06-29,2010-12-07,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000727,,2006040,Yes,PULTE HOMES,3200 FT LINCOLN RD NE,,Washington DC,20012,,DC,3,Commercial,,,38.92288,-76.95779,Geocoded address,No further action,2006-01-20,2006-08-07,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000747,,2006045,Yes,FORMER KENNEDY MOVIE THEATER,324 KENNEDY ST NW,,Washington DC,20011,,DC,3,Commercial,,,38.9563813,-77.01712252,Geocoded address,No further action,2006-09-08,2023-09-29,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
4000295,,2006047,Yes,PETWORTH PARK PLACE CONDOS,3700 GEORGIA AV NW,,Washington DC,20010,,DC,3,Commercial,,,38.93712096,-77.02471247,Geocoded address,No further action,2006-09-25,2009-03-24,Yes,No,No,Kerosene,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
6006016,,2007003,Yes,"100 M Street, SE L.L.C.",100 M ST,,Washington DC,20002,,DC,3,Commercial,,,38.90566,-77.00583,Geocoded address,No further action,2006-11-03,2007-07-30,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2003486,,2007004,Yes,WALKER JONES CLINIC,1100 1ST ST NW,,Washington DC,20001,,DC,3,Hospital (or other medical),,,38.9043872,-77.01244211,Geocoded address,No further action,2006-11-03,2008-12-02,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000553,,2007005,Yes,AMTRACK IVY CITY POLLUTION CONTROL BLDG,1501 W ST NE,,Washington DC,20018,,DC,3,Railroad,,,38.91916,-76.98232,Geocoded address,No further action,2006-11-20,2007-02-13,Yes,No,No,Waste/Used Oil,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000718,,2007010,Yes,MEDSTAR WASHINGTON HOSPITAL CENTER,"C/O JAMIE CROUCH
110 IRVING ST NW",,Washington DC,20010,,DC,3,Hospital (or other medical),,,38.92954231,-77.0163406,Geocoded address,No further action,2006-12-05,2007-02-07,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1001447,,2007013,Yes,THOMAS M KEAHEY II,"925 FLORIDA AV NW 
DUPLICATE OF FAC.ID 1-001492",,Washington DC,20001,,DC,3,Other,,,38.91207,-77.01902,Geocoded address,No further action,2006-08-03,2007-02-07,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000832,,2007014,Yes,Howard University,2146 GEORGIA AV,,Washington DC,20001,,DC,3,Commercial,,,38.91878,-77.02192,Geocoded address,Active: general,2007-02-13,,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Delivery overfill,,,,,,,,,,,,,,No
6006014,,2007020,Yes,Wendy's Restaurant (JPI Develoment ),23 I ST & 901 HALF ST S.E,,Washington DC,20002,,DC,3,Commercial,,,38.87929,-77.00746,Geocoded address,No further action,2007-04-09,2016-02-04,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000014,,2007021,Yes,FORMER POTOMAC CAB COMPANY,1345 S CAPITOL ST SW,,Washington DC,20024,,DC,3,Commercial,,,38.87345678,-77.00942275,Geocoded address,No further action,2007-05-17,2013-04-17,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
2000418,,2007024,Yes,HALF STREET SE LLC,1015 HALF ST SE,,Washington DC,20003,,DC,3,Commercial,,,38.87795235,-77.00792537,Geocoded address,No further action,2007-07-21,2012-05-30,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8001195,,2007028,Yes,DC DEPARTMENT OF HUMAN SERVICES - (DPW FEES),4 DC VILLAGE LA SW,,Washington DC,20032,,DC,3,Bulk plant storage/petroleum distributor,,,38.81318,-77.01451,Geocoded address,No further action,2007-08-28,2017-08-18,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000747,,2007029,Yes,MOUNT CLARE PROPERTIES,1ST & M ST NE,,Washington DC,20002,,DC,3,Other,,,38.90564087,-77.00588515,Geocoded address,No further action,2007-09-04,2009-08-18,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000747,,2007030,Yes,MOUNT CLARE PROPERTIES,1ST & M ST NE,,Washington DC,20002,,DC,3,Other,,,38.90564087,-77.00588515,Geocoded address,No further action,2007-09-04,2009-08-18,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000747,,2007031,Yes,MOUNT CLARE PROPERTIES,1ST & M ST NE,,Washington DC,20002,,DC,3,Other,,,38.90564087,-77.00588515,Geocoded address,No further action,2007-09-04,2009-08-18,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8002860,,2007034,Yes,CAMP SIMMS /ASHEFORD COURT LOT 47,1500 MISSISSIPPI AV SE,,Washington DC,20003,,DC,3,Residential,,,38.84169437,-76.9835862,Geocoded address,No further action,2007-09-18,2009-09-01,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000164,,2008001,Yes,CATHOLIC UNIVERSITY OF AMERICA,620 MICHIGAN AV NE,,Washington DC,20064,,DC,3,School,,,38.93282173,-76.99786192,,No further action,2007-08-01,2007-10-17,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000247,,2008002,Yes,NAZCON INC. - DC PLANT,2155 QUEENS CHAPEL RD NE,,Washington DC,20018,,DC,3,Contractor,,,38.92086053,-76.97294729,Geocoded address,No further action,2007-10-19,2010-08-24,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000008,,2008003,Yes,PAUL BROTHERS OLDSMOBILE,5220 WISCONSIN AV NW,,Washington DC,20015,,DC,3,Auto dealership/auto maintenance & repair,,,38.95776592,-77.08468656,Geocoded address,Active: general,2007-11-20,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000790,,2008004,Yes,DC USA DEVELOPMENT,3100 14TH ST NW,,Washington DC,20010,,DC,3,Unknown,,,38.92930044,-77.03298372,Geocoded address,No further action,2007-11-20,2007-12-05,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000126,,2008006,Yes,AMOCO OIL CO (FORMER),3015 12TH ST NE,,Washington DC,20017,,DC,3,Retail fuel sales (non-marina),,,38.92831945,-76.99038248,Geocoded address,No further action,2008-04-01,2008-10-21,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1002764,,2008008,Yes,NCBA ESTATES,2801 14TH ST NW,,Washington DC,20009,,DC,3,Residential,,,38.92621339,-77.03196628,Geocoded address,No further action,2008-05-11,2011-01-10,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8000662,,2008009,Yes,ST ELIZABETHS HOSPITAL,2700 M L KING JR AV SE,,Washington DC,20020,,DC,3,Hospital (or other medical),,,38.8506843,-76.99472857,Geocoded address,No further action,2007-09-20,2008-07-28,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
29,,2008012,Yes,FORMER PETROVITCH AUTO REPAIR,2303 14TH ST NW,,Washington DC,20009,,DC,3,Auto dealership/auto maintenance & repair,,,38.92067282,-77.03164887,Geocoded address,No further action,2008-08-08,2011-03-17,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7004089,,2008015,Yes,GRANT PARK NURSING HOME,5000 N H BURROUGHS AV NE,,Washington DC,20019,,DC,3,Residential,,,38.8992555,-76.92827048,Geocoded address,No further action,2008-08-18,2009-08-19,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000002,,2009001,Yes,BRENTWOOD MAINTENANCE FACILITY,515 NEW YORK AV NE,,Washington DC,20002,,DC,3,Other,,,38.91133071,-76.99599482,Geocoded address,No further action,2009-02-02,2008-10-04,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000770,,2009003,Yes,RONALD REAGAN FEDERAL BUILDING,1300 PENNSYLVANIA AV NW,,Washington DC,20004,,DC,3,Other,,,38.8949396,-77.03021187,Geocoded address,No further action,2008-11-07,2009-12-30,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5010024,,2009004,Yes,WASHINGTON GATEWAY APARTMENTS VENTURE LLC,101 NEW YORK AV NE,,Washington DC,20002,,DC,3,Other,,,,,,No further action,2008-11-26,2013-03-28,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000556,,2009006,Yes,IVY CITY MAINT.EQUIPMENT FACILITY,1401 W ST NE,,Washington DC,20018,,DC,3,Railroad,,,38.91739233,-76.98811419,Geocoded address,No further action,2008-12-15,2011-09-30,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7006003,,2009007,Yes,Shop Express / Prev Chevron,3900 BENNING RD.,,Washington DC,20019,,DC,3,Commercial,,,38.89522,-76.94867,Geocoded address,Active: general,2008-12-29,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8000323,,2009008,Yes,EXXON S/S #2-5050,4650 S CAPITOL ST SE,,Washington DC,20032,,DC,3,Retail fuel sales (non-marina),,,38.82253748,-77.00231419,Geocoded address,No further action,2009-02-09,2010-07-08,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000209,,2009009,Yes,EXXON S/S #2-7835,1827 ADAMS MILL RD NW,,Washington DC,20009,,DC,3,Retail fuel sales (non-marina),,,38.92341947,-77.04313318,Geocoded address,No further action,2009-02-09,2010-04-01,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000337,,2009010,Yes,EXXON  S/S #2-1717,4812 MACARTHUR BV NW,,Washington DC,20007,,DC,3,Retail fuel sales (non-marina),,,38.91629982,-77.09608652,Geocoded address,Active: general,2009-02-09,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
6000359,,2009011,Yes,EXXON S/S #2-1931,2651 BENNING RD NE,,Washington DC,20002,,DC,3,Retail fuel sales (non-marina),,,38.89739718,-76.97018088,,Active: general,2009-03-06,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Piping,Delivery overfill,,,,,,,,,,,,,,No
5000245,,2009012,Yes,CHAS H. TOMPKINS CO.,2220 25TH PL NE,,Washington DC,20018,,DC,3,Commercial,,,38.92062867,-76.97111191,Geocoded address,No further action,2009-03-09,2010-01-26,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2002386,,2009015,Yes,625 INC.,625 T ST NW,,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.91571728,-77.02111612,Geocoded address,No further action,2009-03-24,2011-11-17,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000201,,2009019,Yes,EXXON S/S #2-7582,1020 MICHIGAN AV NE,,Washington DC,20017,,DC,3,Retail fuel sales (non-marina),,,38.93596697,-76.99290255,,No further action,2009-06-10,2009-09-30,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000672,,2009020,Yes,"GREYHOUND LINES, INC.",1005 1ST ST NE,,Washington DC,20002,,DC,3,Trucking/transport/fleet operation,,,38.90341962,-77.00522218,Geocoded address,No further action,2009-06-22,2012-02-13,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000710,,2009021,Yes,WMATA BLADENSBURG GARAGE,2250 & 2251 26TH ST NE,,Washington DC,20018,,DC,3,Trucking/transport/fleet operation,,,38.92229,-76.96996,Geocoded address,No further action,2009-07-14,2011-02-08,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000165,,2009022,Yes,EXXON S/S 2-5488,5521 CONNECTICUT AV NW,,Washington DC,20016,,DC,3,Retail fuel sales (non-marina),,,38.96379536,-77.07429164,,No further action,2009-07-20,2009-09-30,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000325,,2009023,Yes,EXXON S/S #2-1952,4244 WISCONSIN AV NW,,Washington DC,20015,,DC,3,Retail fuel sales (non-marina),,,38.94428457,-77.07810324,Geocoded address,No further action,2009-07-20,2010-05-17,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000830,,2009024,Yes,DAYCARE,5507 LONGFELLOW ST NW,,Washington DC,20011,,DC,3,Unknown,,,38.9570947,-77.02368161,Geocoded address,No further action,2009-06-29,2010-09-28,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000449,,2009026,Yes,DHCD WAREHOUSE,59 M ST NE,,Washington DC,20002,,DC,3,Commercial,,,38.90536969,-77.00650896,Geocoded address,No further action,2009-09-04,2011-01-26,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2006020,,2010001,Yes,"JBG/14th and S., LLC",1407 S ST,,Washington DC,20005,,DC,3,Residential,,,38.91425,-77.03234,Geocoded address,No further action,2009-10-29,2010-03-09,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000174,,2010003,Yes,CKG-S INVESTMENTS,247 CARROLL ST NW,,Washington DC,20012,,DC,3,Other,,,38.97516329,-77.0153916,Geocoded address,No further action,2009-09-10,2011-12-06,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000834,,2010004,Yes,HOWARD UNIVERSITY TOWN CENTER,2112 GEORGIA AV NW,,Washington DC,20001,,DC,3,School,,,38.91819306,-77.02245077,Geocoded address,Active: general,2009-12-11,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000685,,2010006,Yes,VAN NESS,4225 CONNECTICUT AV NW,,Washington DC,20008,,DC,3,Retail fuel sales (non-marina),,,38.94400563,-77.06293873,Geocoded address,No further action,2010-03-23,2013-09-30,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000132,,2010007,Yes,JBG 1300 FIRST STREET LLC,1300 1ST ST NE,,Washington DC,20002,,DC,3,Commercial,,,38.90755441,-77.00617907,Geocoded address,No further action,2010-05-17,2011-01-23,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3004958,,2010008,Yes,PROFESSIONAL BUILDING,2400 WISCONSIN AV NW,,Washington DC,20007,,DC,3,Commercial,,,38.92118786,-77.07243656,Geocoded address,No further action,2010-07-08,2014-03-13,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000314,,2010011,Yes,THE PARKS AT WALTER REED,"CAMERON DRIVE RIGHT OF WAY
6900 GEORGIA AV NW
",,Washington DC,20012,,DC,3,Commercial,,,38.97658161,-77.02884996,Geocoded address,No further action,2010-09-09,2014-11-07,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
2000747,,2011001,Yes,MOUNT CLARE PROPERTIES,1ST & M ST NE,,Washington DC,20002,,DC,3,Other,,,38.90564087,-77.00588515,Geocoded address,No further action,2011-03-11,2012-01-05,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000747,,2011002,Yes,MOUNT CLARE PROPERTIES,1ST & M ST NE,,Washington DC,20002,,DC,3,Other,,,38.90564087,-77.00588515,Geocoded address,No further action,2011-03-11,2012-07-24,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000747,,2011003,Yes,MOUNT CLARE PROPERTIES,1ST & M ST NE,,Washington DC,20002,,DC,3,Other,,,38.90564087,-77.00588515,Geocoded address,No further action,2011-03-11,2017-10-24,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5010025,,2011004,Yes,WASHINGTON GATEWAY APARTMENTS VENTURE LLC,202 FLORIDA AV NE,,Washington DC,20002,,DC,3,Other,,,,,,No further action,2011-02-11,2020-08-05,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Tank,Corrosion,,,,,,,,,,,,,,No
9000861,,2011005,Yes,PROGRESSION PLACE,1837 7TH ST NW,,Washington DC,20001,,DC,3,Other,,,38.91500128,-77.02170051,Geocoded address,No further action,2011-05-16,2011-09-30,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000401,,2011008,Yes,JIMMY'S TIRE AND AUTO,100 K ST NE,,Washington DC,20032,,DC,3,Commercial,,,38.90278587,-77.00547634,Geocoded address,No further action,2011-09-22,2017-08-28,Yes,Yes,No,Waste/Used Oil,,,,,,,,,,,,,,,Tank,Corrosion,,,,,,,,,,,,,,No
5001369,,2012001,Yes,GUTHRIE PROPERTIES,2417 EVARTS ST NE,,Washington DC,20018,,DC,3,Industrial,,,38.92425377,-76.97136449,Geocoded address,No further action,2011-10-05,2012-02-07,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000171,,2012002,Yes,CURTIS CHEVROLET,5929 GEORGIA AV NW,,Washington DC,20011,,DC,3,Auto dealership/auto maintenance & repair,,,38.96207052,-77.02728284,Geocoded address,No further action,2011-10-18,2013-08-07,Yes,No,No,Waste/Used Oil,,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
5006005,,2012003,Yes,"WV Urban Developments, LLC",NEW YORK AVE/BLADENSBURG RD/ MONTANA AVE,,Washington DC,20002,,DC,3,Commercial,,,38.91701,-76.97785,Geocoded address,No further action,2011-12-12,2020-10-26,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000096,,2012004,Yes,AMOCO OIL CO (FORMER),4430 BENNING RD NE,,Washington DC,20019,,DC,3,Retail fuel sales (non-marina),,,38.89095544,-76.93801085,Geocoded address,No further action,2011-12-14,2017-07-27,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000197,,2012005,Yes,P STREET SHELL,2200 P ST NW,,Washington DC,20037,,DC,3,Retail fuel sales (non-marina),,,38.90930671,-77.04915963,Geocoded address,Active: general,2011-12-26,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2003989,,2012006,Yes,OURISMAN CHEVROLET,610 H ST NE,,Washington DC,20002,,DC,3,Auto dealership/auto maintenance & repair,,,38.90039309,-76.9979052,Geocoded address,No further action,2012-01-20,2015-12-24,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000893,,2012007,Yes,2920 GEORGIA AVENUE,2920 GEORGIA AV NW,,Washington DC,20011,,DC,3,Other,,,38.92774215,-77.02337512,Geocoded address,No further action,2012-02-13,2014-09-02,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2003982,,2012008,Yes,THE TEXAS COMPANY,601 H ST NE,,Washington DC,20002,,DC,3,Other,,,38.90001628,-76.99823157,Geocoded address,No further action,2012-03-06,2015-04-15,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2006032,,2012010,Yes,"Jemal-Moshovitis, LLC, c/o Douglad Development Corporation",902 N ST NW AND 1250 9TH ST NW (ADJACENT),,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.91207,-77.01902,Geocoded address,No further action,2012-04-02,2014-09-11,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000589,,2012012,Yes,MPD SPECIAL OPERATIONS DIVISION,2301 L ST NW,,Washington DC,20037,,DC,3,Retail fuel sales (non-marina),,,38.90396584,-77.05062968,Geocoded address,No further action,2012-06-07,2015-10-28,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Delivery overfill,,,,,,,,,,,,,,No
9000921,,2012013,Yes,CAPITOL PLACE,701 2ND ST NE,,Washington DC,20002,,DC,3,Unknown,,,38.89920306,-77.00321206,Geocoded address,No further action,2012-07-24,2013-12-06,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000146,,2012017,Yes,MOBIL,1301 BLADENSBURG RD NE,,Washington DC,20018,,DC,3,Retail fuel sales (non-marina),,,38.90755,-76.97826,Geocoded address,No further action,2012-08-07,2017-06-13,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
1000727,,2012019,Yes,VALERO,1400 W ST NW,,Washington DC,20009,,DC,3,Retail fuel sales (non-marina),,,38.91898767,-77.03248068,,Active: general,2012-08-07,,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,Excavation and hauling or treatment,2019-12-01,,,,,,,No
5000162,,2012020,Yes,VALERO,22 FLORIDA AV NW,,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.91133352,-77.01078957,,Active: general,2012-08-07,,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
7000267,,2012021,Yes,MOBIL,3710 MINNESOTA AV NE,,Washington DC,20019,,DC,3,Retail fuel sales (non-marina),,,38.89100817,-76.95269679,Geocoded address,Active: general,2012-08-07,,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000249,,2012022,Yes,MOBIL,420 RHODE ISLAND AV NW,,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.91330787,-77.01817009,,Active: general,2012-08-07,,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000208,,2012023,Yes,MOBIL,4519 BENNING RD SE,,Washington DC,20019,,DC,3,Retail fuel sales (non-marina),,,38.88917145,-76.93772355,,Active: general,2012-08-07,,Yes,Yes,No,Waste/Used Oil,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000616,,2012024,Yes,SHELL,5420 NEW HAMPSHIRE AV NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.95632809,-77.0099395,Geocoded address,Active: general,2012-08-07,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
4000344,,2012025,Yes,VALERO,5831 GEORGIA AV NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.96066864,-77.02772364,,Active: general,2012-08-07,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
9000672,,2012026,Yes,SHELL,925 BRENTWOOD RD NE,,Washington DC,20018,,DC,3,Retail fuel sales (non-marina),,,38.91755703,-76.99287924,Geocoded address,Active: general,2012-08-07,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
