FACILITYID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
3000030,AMOCO OIL CO,Commercial,Retail fuel sales (non-marina),,4835 MASSACHUSETTS AV NW,,Washington DC,,20016,DC,3,,,38.94528833,-77.09549275,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,No,No,No,No,No,No,No,No,No,No,No,,Yes,91018.0
3000039,AMOCO OIL CO,Commercial,Retail fuel sales (non-marina),,CONNECTICUT AV & MORRISON ST NW,,Washington DC,,20015,DC,3,,,38.96399856,-77.07504867,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000042,AMOCO OIL CO (FORMER),Commercial,Retail fuel sales (non-marina),,5355 WISCONSIN AV NW,,Washington DC,,20015,DC,3,,,38.95702,-77.08382,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
2002338,AMOCO OIL CO,Commercial,Retail fuel sales (non-marina),,403 S ST NW,,Washington DC,,20001,DC,3,,,38.91426185,-77.01756706,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
1000014,AMOCO OIL CO S/S #84665,Commercial,Retail fuel sales (non-marina),,2307 CHAMPLAIN ST NW,,Washington DC,,20009,DC,3,,,38.92039,-77.04092,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,91058.0
1000043,AMOCO OIL CO,Commercial,Retail fuel sales (non-marina),,14TH & EUCLID ST NW,,Washington DC,,20009,DC,3,,,38.92363525,-77.03213154,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
5005268,AMOCO GAS STATION,Commercial,Retail fuel sales (non-marina),,1600 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91742482,-76.97997156,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000016,AMOCO OIL CO S/S #3478,Commercial,Retail fuel sales (non-marina),,2450 WISCONSIN AV NW,,Washington DC,,20007,DC,3,,,38.922226,-77.0729713,Geocoded address,BP PRODUCTS NORTH AMERICA INC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2002046.0
2000004,OLMSTED BUILDING,Commercial,Commercial,,1701 PENNSYLVANIA AV NW,,Washington DC,,20006,DC,3,,,38.89933631,-77.03982446,Geocoded address,ATLANTIC FREHOLDS C/O GROSVENOR,,No,No,No,No,No,No,No,No,No,No,No,,Yes,92054.0
4000010,A/C ELECTRIC CO. INC.,Commercial,Contractor,,15 KENNEDY ST NW,,Washington DC,,20011,DC,3,,,38.95686341,-77.01030958,Geocoded address,ATLANTIC PLUMBING,,No,No,No,No,No,No,No,No,No,No,No,,Yes,97091.0
2000023,"AVIS RENT-A-CAR SYSTEM, LLC",Commercial,Auto dealership/auto maintenance & repair,,1722 M ST NW,,Washington DC,,20036,DC,3,,,38.90539924,-77.03917669,Geocoded address,"AVIS RENT-A-CAR SYSTEM, LLC",,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,88005.0
2000151,BERGMANNS INC.,Commercial,Commercial,,714 6TH ST NW,,Washington DC,,20001,DC,3,,,38.89897992,-77.02026927,Geocoded address,BERGMANNS INC.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,96044.0
6000225,BOWIE'S INCORPORATED,Commercial,Trucking/transport/fleet operation,,"1337 E ST SE
1339 E ST SE",,Washington DC,,20003,DC,3,,,38.88264157,-76.98697516,Geocoded address,"BOWIE, INC.",,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
1000206,COASTLINE PURCHASE CORP,Commercial,Retail fuel sales (non-marina),,940 FLORIDA AV NW,,Washington DC,,20001,DC,3,,,38.91887364,-77.02512047,Geocoded address,COASTLINE PURCHASE CORP (#89027),,No,No,No,No,No,No,No,No,No,No,No,,Yes,89027.0
2000167,WONDERBREAD,Commercial,Industrial,,641 S ST NW,,Washington DC,,20001,DC,3,,,38.91431171,-77.02110013,Geocoded address,DOUGLAS DEVELOPMENT CORP,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
5000172,CRANE RENTAL CO. INC.,Commercial,Contractor,,1601 W ST NE,,Washington DC,,20018,DC,3,,,38.91891621,-76.98031189,Geocoded address,CRANE RENTAL CO. INC.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2022005.0
5000173,CRANE RENTAL CO. INC.,Commercial,Contractor,,1725 W ST NE,,Washington DC,,20018,DC,3,,,38.91936493,-76.97934094,Geocoded address,CRANE RENTAL CO. INC.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93057.0
4000170,CURTIS CHEVROLET,Commercial,Auto dealership/auto maintenance & repair,,5919 GEORGIA AV NW,,Washington DC,,20011,DC,3,,,38.96151,-77.02759,Geocoded address,CURTIS CHEVROLET,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000171,CURTIS CHEVROLET,Commercial,Auto dealership/auto maintenance & repair,,5929 GEORGIA AV NW,,Washington DC,,20011,DC,3,,,38.96207052,-77.02728284,Geocoded address,CURTIS CHEVROLET,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2012002.0
438,PARKING LOT,Commercial,Other,,2201 M L KING JR AV SE,,Washington DC,,20020,DC,3,,,38.86484,-76.98981,Geocoded address,CURTIS PROPERTIES INC.,,No,No,No,No,No,No,No,No,No,No,No,,No,
6002369,"CURTIS PROPERTIES, INC.",Commercial,Commercial,,2012 SHANNON PL SE,,Washington DC,,20020,DC,3,,,38.86669608,-76.98973974,Geocoded address,CURTIS PROPERTIES INC.,,No,No,No,No,No,No,No,No,No,No,No,,No,
6000043,CURTIS PROPERTIES INCORPORATED,Commercial,Auto dealership/auto maintenance & repair,,"2030 SHANNON PL SE
2041 M L KING JR AV SE",,Washington DC,,20020,DC,3,,,38.86592235,-76.98982639,Geocoded address,CURTIS PROPERTIES INC.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
5000309,FT MYER CONSTURCTION CORPORATION,Commercial,Contractor,,"ASPHALT PLANT #1
2001 5TH ST NE",,Washington DC,,20002,DC,3,,,38.91738167,-76.99925994,Geocoded address,FORT MYER CONSTRUCTION CORP,,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,,No,
5000140,FORMER BEN LEE LAUNDRY,Commercial,Commercial,,2127 RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.92982124,-76.97394542,Geocoded address,DONG I BAE/BEN LEE LAUNDRY,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,97077.0
5000317,INTERNATIONAL LIMOUSINE SERV.,Commercial,Trucking/transport/fleet operation,,2300 T ST NE,,Washington DC,,20002,DC,3,,,38.91589593,-76.97284978,,INTERNATIONAL LIMOUSINE SERVICE,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
5002682,EXXON GAS STATION,Commercial,Retail fuel sales (non-marina),,"3700 10TH ST NE 
AT MICHIGAN AV",,Washington DC,,20017,DC,3,,,38.93560901,-76.99347236,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2020007.0
2000319,EXXON S/S #2-2906,Commercial,Retail fuel sales (non-marina),,316 K ST NW,,Washington DC,,20001,DC,3,,,38.9025,-77.01536,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2021007.0
2000335,EXXON S/S #2-5055,Commercial,Retail fuel sales (non-marina),,1001 S CAPITOL ST SW,,Washington DC,,20003,DC,3,,,38.87797664,-77.00951393,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90071.0
2000350,EXXON S/S #2426,Commercial,Retail fuel sales (non-marina),,415 RHODE ISLAND AV NW,,Washington DC,,20001,DC,3,,,38.91391,-77.01757,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000351,FORMER EXXON S/S #2-6239,Commercial,Retail fuel sales (non-marina),,970 D ST SW,,Washington DC,,20024,DC,3,,,38.8846594,-77.02535991,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,89019.0
2000355,EXXON S/S #2-1254 (224),Commercial,Retail fuel sales (non-marina),,2600 PENNSYLVANIA AV NW,,Washington DC,,20037,DC,3,,,38.90396059,-77.05507405,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,,Yes,90042.0
3000336,"EXXON BLVD SERVICE CENTER,INC.",Commercial,Retail fuel sales (non-marina),,5443 MACARTHUR BV NW,,Washington DC,,20016,DC,3,,,38.93007673,-77.10654447,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,89040.0
5000358,EXXON S/S #2-8038,Commercial,Retail fuel sales (non-marina),,5 Q ST NW,,Washington DC,,20001,DC,3,,,38.91114,-77.01028,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2017011.0
7000331,COMMUNITY EXXON S/S #2-5694,Commercial,Retail fuel sales (non-marina),,4854 N H BURROUGHS AV NE,,Washington DC,,20019,DC,3,,,38.89908866,-76.93202902,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,92075.0
1002719,GRAND SUCCESS ENTERPRISES,Commercial,Retail fuel sales (non-marina),,1100 PARK RD NW,,Washington DC,,20010,DC,3,,,38.9316065,-77.02843674,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,94051.0
2000745,KAYFIRST CORPORATION,Commercial,Other,,101 K ST NE,,Washington DC,,20002,DC,3,,,38.90227,-77.00553,Geocoded address,KAYFIRST CORPORATION,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000083,FORMER EXXON - THIFTY CAR RENTAL,Commercial,Auto dealership/auto maintenance & repair,,1720 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91764037,-76.97881643,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93050.0
2000742,EXXON S/S#2-2069,Commercial,Retail fuel sales (non-marina),,22ND & M ST NW,,Washington DC,,20037,DC,3,,,38.90526836,-77.04881234,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,89028.0
8000334,EXXON S/S #2-5730,Commercial,Retail fuel sales (non-marina),,2125 ALABAMA AV SE,,Washington DC,,20020,DC,3,,,38.85059388,-76.97447328,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,91054.0
1000321,EXXON FORMER S/S #2-2458,Commercial,Retail fuel sales (non-marina),,2005 FLORIDA AV NW,,Washington DC,,20009,DC,3,,,38.91468,-77.04571,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000012,"LOUISE MATEER, FEE OWNER",Commercial,Retail fuel sales (non-marina),,1101 BRENTWOOD RD NE,,Washington DC,,20018,DC,3,,,38.91938593,-76.99073608,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,92079.0
5000320,W.S.JENKS AND SON.,Commercial,Commercial,,1933 MONTANA AV NE,,Washington DC,,20002,DC,3,,,38.91537163,-76.97694752,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,No,
3000326,EXXON S/S #2-5669,Commercial,Retail fuel sales (non-marina),,4866 MASSACHUSETTS AV NW,,Washington DC,,20016,DC,3,,,38.94505291,-77.09640951,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,89025.0
2000366,EXXON S/S #2-5381,Commercial,Retail fuel sales (non-marina),,950 S CAPITOL ST SW,,Washington DC,,20003,DC,3,,,38.87465,-77.00918,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,,Yes,88017.0
2000367,EXXON R/S #2-7118,Commercial,Retail fuel sales (non-marina),,1022 M ST SE,,Washington DC,,20003,DC,3,,,38.87680179,-76.99203546,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,,Yes,2008013.0
2000369,FORMER EXXON S/S#2-2567,Commercial,Retail fuel sales (non-marina),,"1545 WISCONSIN AV NW 
AT Q ST NW",,Washington DC,,20007,DC,3,,,38.91019174,-77.06460608,Geocoded address,EXXON MOBIL CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,89007.0
4000328,EXXON S/S #2-5436,Commercial,Retail fuel sales (non-marina),,3700 10TH ST NW,,Washington DC,,20010,DC,3,,,38.93606144,-77.02777762,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000342,EXXON S/S #2-1357,Commercial,Retail fuel sales (non-marina),,7825 GEORGIA AV NW,,Washington DC,,20012,DC,3,,,38.98431407,-77.02623194,Geocoded address,EXXON MOBIL CORP,,No,No,No,No,No,No,No,No,No,No,No,,Yes,89006.0
5000380,"NORTHEAST FORD, INC.",Commercial,Auto dealership/auto maintenance & repair,,2175 W VIRGINIA AV NE,,Washington DC,,20002,DC,3,,,38.91597046,-76.978132,Geocoded address,"FORD LEASING DEVELOPMENT,COMPANY",,No,No,No,No,No,No,No,No,No,No,No,,Yes,90054.0
2000755,FRANKLIN SQUARE,Commercial,Commercial,,1300 I ST NW,,Washington DC,,20005,DC,3,,,38.901,-77.03018,,"TIAA FRANKLIN SQUARE, LLC",,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
5000504,CUSTOM MACHINERY CORPORATION,Commercial,Commercial,,2230 ADAMS PL NE,,Washington DC,,20018,DC,3,,,38.91976561,-76.97430588,Geocoded address,CUSTOM MACHINERY CORPORATION,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,99118.0
2000672,"GREYHOUND LINES, INC.",Commercial,Trucking/transport/fleet operation,,1005 1ST ST NE,,Washington DC,,20002,DC,3,,,38.90341962,-77.00522218,Geocoded address,"GREYHOUND LINES, INC.",,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2006005.0
5000410,LAID LAW - TRANSIT  INC.,Commercial,Trucking/transport/fleet operation,,1345 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91403628,-76.98729839,Geocoded address,"GREYHOUND LINES, INC.",,No,No,No,No,No,No,No,No,No,No,No,Other Finance,Yes,88012.0
5000506,FORMER BRAD'S CARRY-OUT,Commercial,Commercial,,1803 RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.92790447,-76.9779369,Geocoded address,CENTRAL BAKING,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2005007.0
5000500,GAS STATION OPERATING,Commercial,Retail fuel sales (non-marina),,1049 FRANKLIN ST NE,,Washington DC,,20017,DC,3,,,38.92537827,-76.99076309,Geocoded address,HENRY C.CRAWFORD.,,No,No,No,No,No,No,No,No,No,No,No,,No,
5000510,"HESSICK, INC.",Commercial,Bulk plant storage/petroleum distributor,,1124 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.90315678,-76.99070475,Geocoded address,"HESSICK, INC.",,No,No,No,No,No,No,No,No,No,No,No,,Yes,2014005.0
2000503,"GOOSE BAY AGGREGATE,INC.",Commercial,Commercial,,2 S ST SW,,Washington DC,,20024,DC,3,,,38.86809706,-77.00920276,Geocoded address,"HOWAT CONCRETE COMPANY,INC.",,No,No,No,No,No,No,No,No,No,No,No,,No,
5000247,PROPOSED RITE AID STORE,Commercial,Auto dealership/auto maintenance & repair,,1401 RHODE ISLAND AV NE,,Washington DC,,20018,DC,3,,,38.9249115,-76.98370221,Geocoded address,RITE AID CORPORATION,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90048.0
4000522,"KOLB ELECTRIC, INC.",Commercial,Contractor,,5901 BLAIR RD NW,,Washington DC,,20011,DC,3,,,38.96128107,-77.00922495,Geocoded address,"KOLB ELECTRIC,INC.",JACK  MARKLAND,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2019008.0
2000089,CP 1615 L STREET NW,Commercial,Commercial,,"1615 L STREET NW
SUITE 150",,Washington DC,,20036,DC,3,,,38.90432106,-77.03744376,Geocoded address,CP 1615 L STREET LLC - 50110,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
6000074,ANACOSTIA CHRYSLER PLYMOUTH,Commercial,Auto dealership/auto maintenance & repair,,1708 GOOD HOPE RD SE,,Washington DC,,20020,DC,3,,,38.86612047,-76.98017942,Geocoded address,ANACOSTIA CHRYSLER PLYMOUTH,,No,No,No,No,No,No,No,No,No,No,No,,Yes,91063.0
6000947,ANACOSTIA CHRYSLER PLYMOUTH,Commercial,Auto dealership/auto maintenance & repair,,1710 GOOD HOPE RD SE,,Washington DC,,20020,DC,3,,,38.86618509,-76.97982358,Geocoded address,ANACOSTIA CHRYSLER PLYMOUTH,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2005002.0
5005264,HECHT'S COMPANY WAREHOUSE,Commercial,Commercial,,1425 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91581,-76.98441,Geocoded address,MAY DEPARTMENT STORE T/A HECHT'S,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000527,MAY DEPT STORES T/A HECHT'S,Private,Commercial,,1201 G ST NW,,Washington DC,,20004,DC,3,,,38.89851908,-77.02839035,Geocoded address,MACY'S INC,EUGENE  NOLL,Yes,No,No,No,No,No,Yes,Yes,No,No,No,,No,
9000678,MACY'S METRO CENTER,Private,Commercial,,1201 G ST NW,,Washington DC,,20005,DC,3,,,38.89851908,-77.02839035,Geocoded address,MACY'S INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000554,AMTRAK UNION STATION,Commercial,Railroad,,50 MASSACHUSETTS AV NE,,Washington DC,,20002,DC,3,,,38.89753847,-77.00617913,Geocoded address,NATIONAL RAILROAD PASSENGER CORP,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
5000556,IVY CITY MAINT.EQUIPMENT FACILITY,Commercial,Railroad,,1401 W ST NE,,Washington DC,,20018,DC,3,,,38.91739233,-76.98811419,Geocoded address,NATIONAL RAILROAD PASSENGER CORP,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2019010.0
5000562,FORMER RYDER TRUCK RENTAL FAC,Commercial,Trucking/transport/fleet operation,,1710 17TH ST NE,,Washington DC,,20002,DC,3,,,38.91486438,-76.97797207,Geocoded address,NORDLINGER INVESTMENTS CORP.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2019002.0
6000573,SOUTHEAST PLANT,Commercial,Industrial,,1330 RAILROAD AV SE,,Washington DC,,20020,DC,3,,,38.86536,-76.99155,Geocoded address,"PALACE LAUNDRY,INC.",,No,No,No,No,No,No,No,No,No,No,No,,Yes,91011.0
1000572,LAMONT STREET PLANT,Commercial,Industrial,,"713 LAMONT ST NW
724 MORTON ST NW",,Washington DC,,20010,DC,3,,,38.93110223,-77.02477867,Geocoded address,"PALACE LAUNDRY,INC.",,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2017004.0
2000582,R STREET MANOR,Commercial,Commercial,,435 R ST NW,,Washington DC,,20001,DC,3,,,38.91281534,-77.01844208,Geocoded address,R STREET MANOR LLC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
2000067,"PUBLIC STORAGE, INC",Commercial,Commercial,,1230 S CAPITOL ST SE,,Washington DC,,20003,DC,3,,,38.87554931,-77.00857288,Geocoded address,"PUBLIC STORAGE, INC",,No,No,No,No,No,No,No,No,No,No,No,,Yes,89044.0
2000575,METRO BUILDING SUPPLY CO.,Commercial,Commercial,,50 Q ST SW,,Washington DC,,20024,DC,3,,,38.8707,-77.00985,Geocoded address,"METRO BUILDING SUPPLY, CO",,No,No,No,No,No,No,No,No,No,No,No,,Yes,91045.0
5000408,FIRESTONE STORE #0852/007080,Commercial,Retail fuel sales (non-marina),,604 RHODE ISLAND AV NE,,Washington DC,,20002,DC,3,,,38.92100743,-76.99841256,Geocoded address,R&M BUILDING ACCOUNT P.O.MARSDEN,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90062.0
5000659,"SAULS LITHOGRAPH COMPANY,INC.",Commercial,Industrial,,2424 EVARTS ST NE,,Washington DC,,20018,DC,3,,,38.92483236,-76.97091277,Geocoded address,"SAULS LITHOGRAPH COMPANY,INC.",,No,No,No,No,No,No,No,No,No,No,No,,No,
5005491,SEARS & ROEBUCK COMPANY,Commercial,Unknown,,1640 MARYLAND AV NE,,Washington DC,,20002,DC,3,,,38.9015,-76.98011,Geocoded address,"SEARS,ROEBUCK AND CO.",,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2017009.0
4000641,STERLING TEXTILE SERVICES,Commercial,Commercial,,5909 BLAIR RD NW,,Washington DC,,20011,DC,3,,,38.96157193,-77.00938652,Geocoded address,STERLING TEXTILE SERVICES,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2006024.0
2000663,FEDDERLINE.,Commercial,Bulk plant storage/petroleum distributor,,1724 S CAPITOL ST SW,,Washington DC,,20003,DC,3,,,38.87392,-77.00918,Geocoded address,STEUART INVESTMENT CO.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2013007.0
2003958,SUN OIL COMPANY,Commercial,Retail fuel sales (non-marina),,232 MASSACHUSETTS AV NW,,Washington DC,,20001,DC,3,,,38.89938,-77.01415,Geocoded address,SUNOCO RETAIL LLC,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000735,FORMER SUNOCO #0004-4214,Commercial,Retail fuel sales (non-marina),,50 M ST SE,,Washington DC,,20003,DC,3,,,38.87667275,-77.00726638,Geocoded address,SUNOCO RETAIL LLC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,88003.0
2000771,SUNOCO INC #0004-3844,Commercial,Retail fuel sales (non-marina),,100 - 150 FLORIDA AV NE,,Washington DC,,20002,DC,3,,,38.9089064,-77.00354213,Geocoded address,SUNOCO RETAIL LLC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2006022.0
4000734,SUNOCO,Commercial,Retail fuel sales (non-marina),,115 RIGGS RD NE,,Washington DC,,20011,DC,3,,,38.95538047,-77.0048291,Geocoded address,SUNOCO RETAIL LLC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,89002.0
8000732,SUNOCO #0004-4370,Commercial,Retail fuel sales (non-marina),,4635 S CAPITOL ST SW,,Washington DC,,20032,DC,3,,,38.82188066,-77.00281211,Geocoded address,SUNOCO RETAIL LLC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,96054.0
9000160,FORMER SUNOCO SERVICE STATION,Commercial,Retail fuel sales (non-marina),,6450 GEORGIA AV NW,,Washington DC,,20012,DC,3,,,38.96873337,-77.02772377,Geocoded address,SUNOCO RETAIL LLC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,97042.0
4000635,SUPER CONCRETE CORPORATION,Commercial,Industrial,,"5001 FT TOTTEN DR NE 
301 GALLATIN ST NE",,Washington DC,,20011,DC,3,,,38.95007916,-77.00318852,Geocoded address,EVERED BARDON INC,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93019.0
2000702,WASHINGTON POST NEWSPAPER,Commercial,Commercial,,225 VIRGINIA AV SE - SOUTHEAST,,Washington DC,,20003,DC,3,,,38.87987128,-77.00283018,Geocoded address,THE WASHINGTON POST COMPANY.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90031.0
2000114,THE WASHINGTON POST COMPANY.,Commercial,Industrial,,"SE PLANT - 804 2ND ST SE /841 ST ST SW
841 1ST ST SE",,Washington DC,,20071,DC,3,,,38.90097,-77.00642,Geocoded address,THE WASHINGTON POST COMPANY.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
5002416,THOMAS SOMMERVILLE COMPANY,Commercial,Contractor,,4900 6TH ST NE,,Washington DC,,20017,DC,3,,,38.94731375,-76.99954664,Geocoded address,THOMAS SOMMERVILLE CO,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000718,MEDSTAR WASHINGTON HOSPITAL CENTER,Commercial,Hospital (or other medical),,"C/O JAMIE CROUCH
110 IRVING ST NW",,Washington DC,,20010,DC,3,,,38.92954231,-77.0163406,Geocoded address,MEDSTAR WASHINGTON HOSPITAL CENTER,,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,2007010.0
2001578,WASHINGTON SQUARE BUILDING,Commercial,Commercial,,1050 CONNECTICUT AV NW,,Washington DC,,20036,DC,3,,,38.90350745,-77.04035008,Geocoded address,WASHINGTON SQUARE L.P.,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,No,
2000708,WELLS FARGO ALARM SERVICES,Commercial,Other,,35 K ST NE,,Washington DC,,20002,DC,3,,,38.90210674,-77.00699367,Geocoded address,WELLS FARGO ALARM SERVICES.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2000041.0
5000001,BROOKLAND DANCE STUDIO,Commercial,Contractor,,3305 8TH ST NE,,Washington DC,,20017,DC,3,,,38.93069981,-76.99460756,Geocoded address,PIPER BUILDING INC,,No,No,No,No,No,No,No,No,No,No,No,,No,
2000017,DIAMOND CAB COMPANY,Commercial,Trucking/transport/fleet operation,,"1101 RHODE ISLAND AV NW 
1101 Q ST NW",,Washington DC,,20009,DC,3,,,38.91068917,-77.02730412,Geocoded address,DIAMOND CAB CO,,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,,Yes,90063.0
2000014,FORMER POTOMAC CAB COMPANY,Commercial,Commercial,,1345 S CAPITOL ST SW,,Washington DC,,20024,DC,3,,,38.87345678,-77.00942275,Geocoded address,SOUTH CAPITOL ACQUISTIONS LLC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes,2007021.0
2000016,DURON PAINTS & WALLCOVERING,Commercial,Commercial,,1467 P ST NW,,Washington DC,,20005,DC,3,,,38.91015288,-77.03423888,Geocoded address,"DURON, INC.",,No,No,No,No,No,No,No,No,No,No,No,,Yes,2005022.0
5001367,XM SATELLITE RADIO,Commercial,Commercial,,1500 ECKINGTON PL NE,,Washington DC,,20002,DC,3,,,38.9097641,-77.00553879,Geocoded address,XM 1500 ECKINGTON LLC,,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Other Finance,Yes,90079.0
5000658,STEUART PETROLEUM COMPANY,Commercial,Bulk plant storage/petroleum distributor,,401 FARRAGUT ST NE,,Washington DC,,20011,DC,3,,,38.95064204,-77.00080489,Geocoded address,STEUART PETROLEUM CO,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90047.0
