ï»¿OBJECTID,LUSTKEY,DERRID,PROJECTMAN,NOTIFICATI,DATECLOSE,CLOSURETYPE,DEPTHGW,GWFLOWDIR1,GWFLOWDIR2,CAPSOILTRE,CAPH2OTREA,PSTFUNDSTA,PSTFUNDPER,DEDUCTIBLE,FACILITYID,NFAFORM,MAPLABEL,BLUESTAKES,ENVCOV,RESIDUALCONTAMMAP
972,629,HII,[Shelly Quick],12/3/1991 12:00:00 AM,6/5/1995 12:00:00 AM,<blank>,~30ft,,,40.0,,,,,1459,<blank>,HII - OGDEN GOLF and COUNTRY CLUB,No,No,No
973,630,HSJ,Michael Pecorelli,8/3/1992 12:00:00 AM,12/3/1999 12:00:00 AM,< Tier 1,8 ft,W,,65.0,0.0,,0.0,0.0,1461,Tier 1 Worksheet,HSJ - OGDEN STANDARD EXAMINER,No,No,No
938,602,KEO,Mark Crim,8/28/1997 12:00:00 AM,,,9,NW,,,,,,,1419,null,KEO - KELLERSTRASS OIL CO.,No,No,No
974,631,IKB,[Kate Johnson],12/15/1993 12:00:00 AM,9/21/1994 12:00:00 AM,<blank>,7ft,W,,20.0,0.0,,0.0,0.0,1461,<blank>,IKB - OGDEN STANDARD EXAMINER,No,No,No
975,5802,NSW,Avery Holyoak,9/17/2018 12:00:00 AM,1/14/2020 12:00:00 AM,< ISL,7.5'-8.5',?,,0.0,0.0,,,0.0,1462,Tier 1 Worksheet,NSW - OGDEN TRANSFER and STORAGE CO.,No,No,No
976,632,GXI,[Shelly Quick],6/20/1991 12:00:00 AM,2/1/1996 12:00:00 AM,<blank>,~9-25ft,W,SW,,0.0,,,,1463,<blank>,GXI - OGDEN-WEBER AREA VOCATIONAL CNTR,No,No,No
977,4670,MCU,Michael Pecorelli,6/14/2006 12:00:00 AM,10/23/2006 12:00:00 AM,> Tier 1,5,NW,,0.0,0.0,,0.0,0.0,1464,Tier 1 Worksheet w/ Supp. Info,MCU - OLD FARM MARKET,No,No,No
978,634,HDR,[Shelly Quick],10/23/1991 12:00:00 AM,2/28/1996 12:00:00 AM,<blank>,~14ft,,,154.0,,,,,1469,<blank>,HDR - STAKER PARSON LOCATION # F480909 and F490464 / OGDEN SHOP,No,No,No
979,635,GDF,Hillary Mason,9/17/1991 12:00:00 AM,12/30/1996 12:00:00 AM,<blank>,~9ft,W,SW,0.0,,,,,1473,Tier 1 Worksheet,GDF - PEPSI COLA BOTTLING COMPANY,No,No,No
980,636,ITL,[Pete Stewart],11/17/1994 12:00:00 AM,7/28/1995 12:00:00 AM,<blank>,12ft,,,69.0,0.0,,0.0,0.0,1474,<blank>,ITL - PHD MOTORS INC. DBA FREEWAY OLDS,No,No,No
981,637,HJG,Michael Pecorelli,1/22/1992 12:00:00 AM,11/12/1996 12:00:00 AM,<blank>,,S,,,,,0.0,0.0,1479,Tier 1 Worksheet,HJG - PLEASANT VIEW CITY CORP.,No,No,No
982,638,GTA,[Shelly Quick],5/3/1991 12:00:00 AM,2/22/1996 12:00:00 AM,<blank>,~10ft,W,NW,,0.0,Ineligible (0),0.0,0.0,1482,<blank>,GTA - S.P.S. TIRE and SERVICE CENTER,No,No,No
983,639,IWX,[Randy Taylor],4/10/1995 12:00:00 AM,3/6/1997 12:00:00 AM,<blank>,,,,,,Partial (1-99),92.0,25000.0,1482,Tier 1 Worksheet,IWX - S.P.S. TIRE and SERVICE CENTER,No,No,No
984,640,GOE,[Shelly Quick],2/4/1991 12:00:00 AM,1/25/1994 12:00:00 AM,<blank>,~9-11ft,N,NW,230.0,0.0,,,,1492,<blank>,GOE - RIVERDALE SHOP,No,No,No
985,641,JOH,Michael Pecorelli,6/6/1996 12:00:00 AM,9/13/1996 12:00:00 AM,<blank>,>12ft,,,23.0,,,0.0,0.0,1494,Tier 1 Worksheet,"JOH - ROBERT H. HINCKLEY, INC.",No,No,No
986,642,FFO,[Paul Zahn],7/5/1989 12:00:00 AM,6/8/1990 12:00:00 AM,<blank>,,,,,,,,,1495,<blank>,FFO - ROCKY MOUNTAIN CHRYSLER PLYMOUTH,No,No,No
987,643,ILF,Mark Crim,1/31/1994 12:00:00 AM,4/5/1996 12:00:00 AM,<blank>,~10ft,W,,,0.0,,,,1496,Tier 1 Worksheet,"ILF - COMMERCIAL DRYWALL, INC.",No,No,No
988,644,GQA,[Shelly Quick],3/8/1991 12:00:00 AM,1/14/1993 12:00:00 AM,<blank>,> 25 ft bgs,W,NW,346.0,,,,,1497,<blank>,GQA - ROY WATER CONSERVANCY SUBDIST.,No,No,No
989,645,GGC,[Shelly Quick],10/31/1990 12:00:00 AM,5/15/1995 12:00:00 AM,<blank>,>200ft,W,,,,,,,1499,<blank>,GGC - GENEVA ROCK SOUTH WEBER,No,No,No
990,3977,LFX,Mark Crim,7/7/2000 12:00:00 AM,1/10/2002 12:00:00 AM,< Tier 1,> 200 ft bgs,W,,19.0,0.0,,0.0,0.0,1499,Tier 1 Worksheet,LFX - GENEVA ROCK SOUTH WEBER,No,No,No
991,646,JUZ,Hillary Mason,11/14/1996 12:00:00 AM,10/13/2005 12:00:00 AM,< Tier 1,~8ft - 10ft,W,NW,,,,,,1500,Tier 1 Worksheet w/ Supp. Info,JUZ - FORMER SCOTTY'S SERVICE (MODERN FRAME AND FRONT-END),No,No,No
992,648,IJW,Mark Crim,12/8/1993 12:00:00 AM,9/9/1996 12:00:00 AM,<blank>,5.5 ft bgs,N,NW,49.0,0.0,,,,1502,Closeout Checklist,IJW - SEARS ROEBUCK and CO.,No,No,No
993,649,FFN,[Paul Zahn],6/29/1989 12:00:00 AM,3/1/1990 12:00:00 AM,<blank>,22.5 ft bgs,,,64.0,,,,,1503,<blank>,FFN - THE SERVICE STATION,No,No,No
994,650,JZF,Kevin Beery,3/27/1997 12:00:00 AM,7/25/2006 12:00:00 AM,< RCL,>33 ft,,,,,Eligible (100),100.0,10000.0,1505,Tier 1 Worksheet,JZF - ROY SHELL,No,No,No
995,5240,MWW,[J.D. Keetley],2/28/2012 12:00:00 AM,11/21/2012 12:00:00 AM,< Tier 1,Unknown,N,NE,0.0,0.0,,,0.0,1506,Tier 1 Worksheet w/ Supp. Info,MWW - SNOWBASIN RESORT COMPANY,No,No,No
996,3785,KZG,Kevin Beery,7/1/1999 12:00:00 AM,7/8/2002 12:00:00 AM,> Tier 1,,,,0.0,0.0,Eligible (100),100.0,10000.0,1506,Tier 1 Worksheet,KZG - SNOWBASIN RESORT COMPANY,No,No,No
997,5454,NFE,UST,11/12/2014 12:00:00 AM,11/21/2014 12:00:00 AM,< ISL,,,,0.0,0.0,,,0.0,1506,UST NFA,NFE - SNOWBASIN RESORT COMPANY,No,No,No
998,651,GQF,Mark Crim,2/26/1991 12:00:00 AM,10/20/1997 12:00:00 AM,< Tier 1,17 ft,,,100.0,0.0,,,,1507,Tier 1 Worksheet,GQF - SOUTH OGDEN CONSERVATION DIST.,No,No,No
999,652,GJP,[Shelly Quick],11/29/1990 12:00:00 AM,6/6/1995 12:00:00 AM,<blank>,8ft,,,15.0,0.0,,,,1508,<blank>,GJP - SOUTH OGDEN CORP.,No,No,No
1000,653,KCP,Mark Crim,6/25/1997 12:00:00 AM,3/2/2000 12:00:00 AM,< Tier 1,10-12ft,NW,N,0.0,0.0,,,,1509,Tier 1 Worksheet,KCP - OGDEN YARD SOUTH PACIFIC RAILROAD,No,No,No
1001,3782,KZD,Mark Crim,6/24/1999 12:00:00 AM,7/21/2000 12:00:00 AM,< Tier 1,~10 ft,NW,,0.0,0.0,,0.0,0.0,1509,Tier 1 Worksheet,KZD - OGDEN YARD SOUTH PACIFIC RAILROAD,No,No,No
1002,4284,LQR,Mark Crim,6/25/1997 12:00:00 AM,1/13/2003 12:00:00 AM,< Tier 1,10,NW,,0.0,0.0,,0.0,0.0,1509,Tier 1 Worksheet w/ Supp. Info,LQR - OGDEN YARD SOUTH PACIFIC RAILROAD,No,No,No
1003,4285,LQQ,Mark Crim,6/25/1997 12:00:00 AM,7/25/2006 12:00:00 AM,< Tier 1,8',NW,,0.0,0.0,,0.0,0.0,1509,Tier 1 Worksheet,LQQ - OGDEN YARD SOUTH PACIFIC RAILROAD,No,No,No
1004,5917,NXJ,UST,4/22/2020 12:00:00 AM,4/29/2020 12:00:00 AM,Int. CO Files to UST,,,,0.0,0.0,,0.0,0.0,1510,UST NFA,"NXJ - SPECTRA SONICS AVIATION, INC.",No,No,No
1005,654,FHS,[Shelly Quick],8/25/1989 12:00:00 AM,2/28/1996 12:00:00 AM,<blank>,,,,,,,,,1513,<blank>,FHS - GAS STOP RIVERDALE,No,No,No
1006,5052,MPX,UST,4/29/2010 12:00:00 AM,6/2/2010 12:00:00 AM,< ISL,,,,0.0,0.0,,0.0,0.0,1515,UST NFA,MPX - EXPRESS LTD.,No,No,No
1007,3495,KOH,Kevin Beery,7/23/1998 12:00:00 AM,12/18/2013 12:00:00 AM,< Tier 1,16-17,NW,,0.0,0.0,Eligible (100),100.0,10000.0,1515,Tier 1 Worksheet w/ Supp. Info,KOH - EXPRESS LTD.,Yes,No,No
1008,655,FBI,[Doug Hansen],9/20/1988 12:00:00 AM,4/22/1997 12:00:00 AM,<blank>,,,,,,,0.0,0.0,1516,Closeout Checklist,FBI - VALLEY MEAT MARKET,No,No,No
1009,656,JKJ,[Doug Hansen],6/29/1995 12:00:00 AM,4/22/1997 12:00:00 AM,<blank>,~10ft,NW,,,,Eligible (100),100.0,10000.0,1516,Closeout Checklist,JKJ - VALLEY MEAT MARKET,No,No,No
1010,4866,MJU,Molly Parker,6/12/2008 12:00:00 AM,1/30/2023 12:00:00 AM,< Tier 1,10',W,NW,0.0,0.0,Eligible (100),100.0,10000.0,1516,Tier 1 Worksheet,MJU - VALLEY MEAT MARKET,No,No,No
1011,4173,LMT,Kevin Beery,1/15/2002 12:00:00 AM,2/21/2002 12:00:00 AM,< Tier 1,16,W,W,0.0,0.0,,0.0,0.0,1518,Tier 1 Worksheet,LMT - 7-ELEVEN 1851-22801,No,No,No
1012,3803,KZV,Kevin Beery,7/20/1999 12:00:00 AM,5/10/2001 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,1518,Internal Closeout Memo,KZV - 7-ELEVEN 1851-22801,No,No,No
1013,4151,LLY,Kevin Beery,11/22/2001 12:00:00 AM,3/1/2002 12:00:00 AM,Internal Close-out,12,NW,W,0.0,0.0,,0.0,0.0,1518,Internal Closeout Memo,LLY - 7-ELEVEN 1851-22801,No,No,No
1014,5114,MSD,Michael Pecorelli,9/29/2010 12:00:00 AM,7/5/2013 12:00:00 AM,< Tier 1,5-14 ft bgs,NW,,0.0,0.0,Eligible (100),100.0,10000.0,1519,Tier 1 Worksheet,MSD - 7-ELEVEN 1851-23558,No,No,No
1015,3533,KPM,Michael Pecorelli,8/18/1998 12:00:00 AM,8/31/2006 12:00:00 AM,< Tier 1,5-7 feet,NW,,0.0,0.0,Eligible (100),100.0,10000.0,1519,Tier 1 Worksheet,KPM - 7-ELEVEN 1851-23558,No,No,No
1016,5490,NGO,UST,5/13/2015 12:00:00 AM,6/3/2015 12:00:00 AM,< ISL,,,,0.0,0.0,,,0.0,1520,UST NFA,NGO - 7-ELEVEN 1851-23578,No,No,No
1017,5024,MPC,Michael Pecorelli,1/12/2010 12:00:00 AM,10/18/2016 12:00:00 AM,> Tier 1,5,W,,816.0,14795.0,Eligible (100),100.0,10000.0,1521,Tier 1 Worksheet w/ Supp. Info,MPC - 7-ELEVEN 1851-23842,No,No,No
1018,657,JEK,Michael Pecorelli,10/13/1995 12:00:00 AM,3/5/1998 12:00:00 AM,< Tier 1,2 ft,W,,3.0,0.0,Eligible (100),100.0,10000.0,1521,Tier 1 Worksheet,JEK - 7-ELEVEN 1851-23842,No,No,No
1019,3789,KZI,Kevin Beery,7/9/1999 12:00:00 AM,5/10/2001 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,1521,Internal Closeout Memo,KZI - 7-ELEVEN 1851-23842,No,No,No
1020,658,IFP,[Randy Taylor],8/18/1993 12:00:00 AM,4/9/1998 12:00:00 AM,< Tier 1,15 ft,N,NW,,0.0,Eligible (100),100.0,25000.0,1522,Tier 1 Worksheet,IFP - 7-ELEVEN 1851-24130,No,No,No
1021,4425,LVI,Kevin Beery,3/2/2004 12:00:00 AM,3/8/2005 12:00:00 AM,< Tier 1,,,,0.0,0.0,,0.0,0.0,1522,Tier 1 Worksheet,LVI - 7-ELEVEN 1851-24130,No,No,No
1022,3625,KTF,Morgan Atkinson,11/18/1998 12:00:00 AM,12/4/1998 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,1524,Internal Closeout Memo,KTF - 7-ELEVEN 1851-26352,No,No,No
1023,5258,MXO,Hong-Lei Tao,5/10/2012 12:00:00 AM,7/9/2015 12:00:00 AM,< ISL,>7,W,,0.0,0.0,Eligible (100),100.0,10000.0,1524,Tier 1 Worksheet,MXO - 7-ELEVEN 1851-26352,No,No,No
1024,659,GLQ,[Shelly Quick],1/3/1991 12:00:00 AM,7/1/1992 12:00:00 AM,<blank>,,,,4.0,,,,,1526,<blank>,GLQ - THINNES CONST. INC.,No,No,No
1025,660,HIQ,Kevin Beery,1/27/1992 12:00:00 AM,9/19/2007 12:00:00 AM,> Tier 1,17,W,NW,600.0,20000.0,,0.0,0.0,1527,Tier 1 Worksheet w/ Supp. Info,HIQ - BOULEVARD TEXACO,No,No,No
1026,661,KCW,Kevin Beery,6/9/1997 12:00:00 AM,9/19/2007 12:00:00 AM,> Tier 1,17,SW,,1500.0,20000.0,Eligible (100),100.0,10000.0,1527,Tier 1 Worksheet w/ Supp. Info,KCW - BOULEVARD TEXACO,No,No,No
1027,662,HPI,[Pete Stewart],6/17/1992 12:00:00 AM,8/2/1995 12:00:00 AM,Int. CO Files to UST,,,,,,,,,1528,<blank>,HPI - THE GENERAL STORE,No,No,No
1028,5272,MYC,Mark Crim,7/19/2012 12:00:00 AM,10/26/2012 12:00:00 AM,Transfer - DWQ,6',W,,0.0,0.0,,,0.0,1529,Internal Closeout Memo,MYC - DANS SERVICE,No,No,No
1029,4765,MGH,UST,6/20/2005 12:00:00 AM,4/17/2007 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,1529,UST NFA,MGH - DANS SERVICE,No,No,No
1030,663,FAK,Mark Crim,3/3/1988 12:00:00 AM,10/4/2023 12:00:00 AM,> Tier 1,3-7,SW,,,,,,,1530,Tier 1 Worksheet w/ Supp. Info,FAK - HOOPER STORE,Yes,Yes,Yes
1031,664,KGB,Mark Crim,10/21/1997 12:00:00 AM,1/18/2001 12:00:00 AM,Internal Close-out,,,,,,,,,1530,Internal Closeout Memo,KGB - HOOPER STORE,No,No,No
1032,3781,KZB,Mark Crim,2/5/1999 12:00:00 AM,1/18/2001 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,1530,Internal Closeout Memo,KZB - HOOPER STORE,No,No,No
1034,666,GQT,Hillary Mason,3/11/1991 12:00:00 AM,1/27/1997 12:00:00 AM,<blank>,>14ft,,,0.0,,,,,1532,Tier 1 Worksheet,GQT - WEBER CREDIT UNION,No,No,No
1035,667,JXZ,UST,1/27/1997 12:00:00 AM,1/27/1997 12:00:00 AM,< RCL/MCL,,,,,,,,,1532,UST NFA,JXZ - WEBER CREDIT UNION,No,No,No
1036,668,IDC,Kevin Beery,6/16/1993 12:00:00 AM,6/8/1999 12:00:00 AM,< Tier 1,>50 ft,W,,83.0,,Eligible (100),100.0,25000.0,1533,Tier 1 Worksheet,"IDC - SHOP FAST, INC.",No,No,No
1037,4229,LOT,Mark Crim,6/17/2002 12:00:00 AM,9/24/2002 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,1533,Internal Closeout Memo,"LOT - SHOP FAST, INC.",No,No,No
1038,669,IFA,[Pete Stewart],7/27/1993 12:00:00 AM,6/26/1996 12:00:00 AM,<blank>,8ft,W,SW,,,,0.0,0.0,1534,Tier 1 Worksheet,IFA - HOMETOWN MOTORS (PREVIOUSLY RIVERDALE ROAD #44),No,No,No
1039,4230,LOU,Michael Pecorelli,7/17/2002 12:00:00 AM,9/13/2002 12:00:00 AM,< Tier 1,> 12 feet,SE,,0.0,0.0,,0.0,0.0,1535,Tier 1 Worksheet,LOU - SHOP FAST,No,No,No
1040,670,FKB,[Shelly Quick],12/5/1989 12:00:00 AM,3/13/1996 12:00:00 AM,<blank>,~9ft,,,,0.0,,,,1536,<blank>,FKB - HERMITAGE (OLD TRIANGLE #106),No,No,No
1041,671,FRL,[Jim Martin],12/5/1989 12:00:00 AM,9/1/1995 12:00:00 AM,<blank>,~9ft,,,,,,,,1536,<blank>,FRL - HERMITAGE (OLD TRIANGLE #106),No,No,No
1042,672,ITZ,Michael Pecorelli,12/1/1994 12:00:00 AM,10/18/1996 12:00:00 AM,<blank>,15ft,W,,0.0,,,0.0,0.0,1537,Tier 1 Worksheet,"ITZ - AUTO HUB ( PREVIOUSLY """"CURLYS TEXACO"""")",No,No,No
1043,673,FYJ,[Shelly Quick],7/20/1990 12:00:00 AM,6/4/1991 12:00:00 AM,<blank>,13ft,,,0.0,250.0,,,,1539,<blank>,FYJ - U-HAUL 72051,No,No,No
1044,674,GLV,Mark Crim,1/11/1991 12:00:00 AM,4/3/1997 12:00:00 AM,< Tier 1,approx. 8',NW,,,,,,,1542,Tier 1 Worksheet w/ Supp. Info,GLV - OGDEN RIVERDALE STEEL YARD,No,No,No
1045,4298,LQZ,Mark Crim,1/11/1991 12:00:00 AM,2/21/2003 12:00:00 AM,< Tier 1,8,NW,,575.0,0.0,,0.0,0.0,1542,Tier 1 Worksheet w/ Supp. Info,LQZ - OGDEN RIVERDALE STEEL YARD,No,No,No
1046,675,FYZ,[Shelly Quick],8/1/1990 12:00:00 AM,10/30/1992 12:00:00 AM,<blank>,Unknown,,,10.0,,,,,1543,<blank>,FYZ - UNITED PARCEL SERVICE INC.,No,No,No
1047,676,HTU,[Pete Stewart],9/2/1992 12:00:00 AM,1/3/1996 12:00:00 AM,<blank>,~12ft,,,0.0,,,0.0,0.0,1544,<blank>,HTU - USPS OGDEN VMF,No,No,No
1048,4486,LWW,Mark Crim,8/25/2004 12:00:00 AM,1/19/2005 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,1544,Tier 1 Worksheet,LWW - USPS OGDEN VMF,No,No,No
1049,678,IGS,Mark Crim,9/13/1993 12:00:00 AM,1/23/2002 12:00:00 AM,< Tier 1,20'+,NW,,12.0,,,,,1545,Tier 1 Worksheet,IGS - UNITED STATES WELDING INC.,No,No,No
1050,679,IHF,[Pete Stewart],10/4/1993 12:00:00 AM,11/20/1995 12:00:00 AM,<blank>,16ft,,,338.0,,,,,1547,<blank>,IHF - OGDEN JOHN M. BROWNING ARMORY/OMS,No,No,No
1051,680,HFY,[Shelly Quick],12/6/1991 12:00:00 AM,2/23/1996 12:00:00 AM,<blank>,Unknown,,,,,,,,1548,<blank>,HFY - UTAH STATE SCHOOLS DEAF and BLIND,No,No,No
1052,681,FTT,Mark Crim,5/30/1990 12:00:00 AM,6/18/1996 12:00:00 AM,< RCL,6.30-7.98ft,W,SW,87.0,0.0,,,,1549,Closeout Checklist,FTT - OLD NORTHERN DIVISION,No,No,No
1053,682,ISF,Mark Crim,8/9/1994 12:00:00 AM,5/6/1996 12:00:00 AM,> Tier 1,~6.5ft,W,,2000.0,0.0,,,,1549,Closeout Checklist,ISF - OLD NORTHERN DIVISION,No,No,No
1054,683,HUN,Mark Crim,9/24/1992 12:00:00 AM,4/16/1996 12:00:00 AM,<blank>,~5-7ft,N,NW,0.0,0.0,,0.0,0.0,1550,Tier 1 Worksheet,HUN - MT OGDEN DIVISION,No,No,No
1055,4479,LWQ,Mark Crim,7/27/2004 12:00:00 AM,9/8/2004 12:00:00 AM,< Tier 1,~8',NW,,0.0,0.0,,0.0,0.0,1550,Tier 1 Worksheet w/ Supp. Info,LWQ - MT OGDEN DIVISION,No,No,No
1056,4480,LWR,Mark Crim,7/27/2004 12:00:00 AM,4/7/2006 12:00:00 AM,< RCL/MCL,~8',NW,,0.0,0.0,,,0.0,1550,Tier 1 Worksheet,LWR - MT OGDEN DIVISION,No,No,No
1057,4481,LWS,Mark Crim,7/27/2004 12:00:00 AM,7/26/2010 12:00:00 AM,> Tier 1,~8',NW,,0.0,0.0,,0.0,0.0,1550,Tier 1 Worksheet w/ Supp. Info,LWS - MT OGDEN DIVISION,No,No,No
1058,684,GUN,[Shelly Quick],5/24/1991 12:00:00 AM,4/7/1992 12:00:00 AM,<blank>,9-10ft,,,0.0,,,,,1551,<blank>,GUN - TOYOTA OF OGDEN,No,No,No
1059,686,HDL,[Melissa Turchi],10/2/1991 12:00:00 AM,8/10/2015 12:00:00 AM,< ISL,~ 60-80 ft bgs,W,,30.0,,,,0.0,1553,Tier 1 Worksheet w/ Supp. Info,HDL - LITTLE MOUNTAIN TEST ANNEX,No,No,No
1060,688,IBG,Michael Pecorelli,4/12/1993 12:00:00 AM,9/27/2001 12:00:00 AM,> Tier 1,9.6-10.9 feet,NW,,0.0,0.0,Eligible (100),100.0,25000.0,1555,Tier 2 Worksheet,IBG - UDOT STA. # 1422,No,No,No
1061,689,IIA,[Pete Stewart],10/20/1993 12:00:00 AM,4/18/1995 12:00:00 AM,<blank>,11ft,,,80.0,,,0.0,0.0,1556,<blank>,IIA - UDOT STA. # 1425,No,No,No
1062,690,IRE,Kevin Beery,8/24/1994 12:00:00 AM,6/24/1999 12:00:00 AM,> Tier 1,~70ft,,,30.0,,Eligible (100),100.0,25000.0,1557,Tier 2 Worksheet,IRE - UDOT STA. # 1426,No,No,No
1063,691,FDC,Hillary Mason,2/28/1989 12:00:00 AM,6/20/1997 12:00:00 AM,<blank>,8-8.8ft,N,NW,0.0,0.0,,,,1560,Tier 1 Worksheet,FDC - TRIANGLE #61,No,No,No
1064,692,HXL,Michael Pecorelli,11/12/1992 12:00:00 AM,11/13/1998 12:00:00 AM,Internal Close-out,,,,,,,0.0,0.0,1562,Internal Closeout Memo,HXL - MINI-MART OF OGDEN,No,No,No
1065,3759,KYG,Kevin Beery,4/28/1999 12:00:00 AM,8/19/2020 12:00:00 AM,> Tier 1,4-8,NW,,500.0,5000.0,Eligible (100),100.0,10000.0,1562,Tier 1 Worksheet w/ Supp. Info,KYG - MINI-MART OF OGDEN,Yes,No,No
1066,693,KBJ,[Robin Jenkins],6/4/1997 12:00:00 AM,3/6/2001 12:00:00 AM,< Tier 1,~14 ft,W,,46.0,,,,,1564,Tier 1 Worksheet,KBJ - APEX OIL MARKETING CO.,No,No,No
1067,4609,MAU,[Melissa Turchi],12/22/2005 12:00:00 AM,9/21/2006 12:00:00 AM,> Tier 1,>20' ? Unknown,,,0.0,0.0,,0.0,0.0,1565,Tier 1 Worksheet w/ Supp. Info,MAU - KWICK STOP,No,No,No
1068,4476,LWO,UST,7/29/2004 12:00:00 AM,7/29/2004 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,1567,UST NFA,LWO - RED DUCK III,No,No,No
1069,4186,LNF,Kevin Beery,2/20/2002 12:00:00 AM,2/28/2002 12:00:00 AM,< Tier 1,,,,0.0,0.0,,0.0,0.0,1568,Tier 1 Worksheet,LNF - ROY PHILLIPS 66,No,No,No
1070,694,FPT,[Shelly Quick],3/29/1990 12:00:00 AM,9/11/1990 12:00:00 AM,<blank>,Unknown,,,0.0,,,,,1569,<blank>,FPT - UTAH POWER and LIGHT COMPANY,No,No,No
1071,695,HPT,[Pete Stewart],7/15/1992 12:00:00 AM,10/19/1995 12:00:00 AM,<blank>,8ft,,,630.0,1500.0,,0.0,0.0,1569,<blank>,HPT - UTAH POWER and LIGHT COMPANY,No,No,No
1072,696,IAU,Mark Crim,3/31/1993 12:00:00 AM,5/20/2004 12:00:00 AM,< Tier 1,8-10',W,,,,,0.0,0.0,1570,Tier 1 Worksheet w/ Supp. Info,IAU - V-1 OIL COMPANY,No,No,No
1073,697,GPZ,Mark Crim,3/6/1991 12:00:00 AM,3/6/1997 12:00:00 AM,<blank>,3 - 6 ft bgs,,,1415.0,,,,,1573,Closeout Checklist,GPZ - W.R. WHITE PIPE COMPANY,No,No,No
1074,698,IJX,[Pete Stewart],12/3/1993 12:00:00 AM,4/7/1995 12:00:00 AM,<blank>,> 50 ft bgs,,,0.0,,,0.0,0.0,1580,<blank>,IJX - WATER TREATMENT PLANT #2,No,No,No
1075,699,HDS,Hillary Mason,10/21/1991 12:00:00 AM,12/30/1996 12:00:00 AM,<blank>,~6-8ft,W,NW,50.0,0.0,,,,1582,Tier 1 Worksheet,HDS - WEBER COUNTY SCHOOL DIST.,No,No,No
1076,700,GJD,Michael Pecorelli,11/20/1990 12:00:00 AM,6/17/1999 12:00:00 AM,< RCL/MCL,>6ft,W,,15.0,,,0.0,0.0,1584,Tier 1 Worksheet,GJD - WEBER STATE UNIV MOTOR POOL,No,No,No
1077,3363,KJO,Michael Pecorelli,2/19/1998 12:00:00 AM,4/28/1998 12:00:00 AM,< RCL/MCL,>6ft,,,0.0,0.0,,0.0,0.0,1584,Tier 1 Worksheet,KJO - WEBER STATE UNIV MOTOR POOL,No,No,No
1078,5857,NVB,Kevin Beery,9/6/2019 12:00:00 AM,6/23/2022 12:00:00 AM,< Tier 1,12,W,,0.0,0.0,,,0.0,1584,Tier 1 Worksheet,NVB - WEBER STATE UNIV MOTOR POOL,No,No,No
1079,701,GQR,[Shelly Quick],3/19/1991 12:00:00 AM,5/11/1995 12:00:00 AM,<blank>,~15ft,NW,,1044.0,,,,,1586,<blank>,GQR - WEBER STATE UNIVERSITY - D.E.C.,No,No,No
1080,702,GRK,[Shelly Quick],3/27/1991 12:00:00 AM,5/11/1995 12:00:00 AM,<blank>,~8-13ft,NW,,1044.0,0.0,,,,1586,<blank>,GRK - WEBER STATE UNIVERSITY - D.E.C.,No,No,No
1081,703,JDF,[Edward Fall],9/15/1995 12:00:00 AM,11/12/1996 12:00:00 AM,<blank>,15-20ft,W,,0.0,,,0.0,0.0,1586,Tier 1 Worksheet,JDF - WEBER STATE UNIVERSITY - D.E.C.,No,No,No
1082,4759,MGA,UST,3/15/2007 12:00:00 AM,3/15/2007 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,1586,UST NFA,MGA - WEBER STATE UNIVERSITY - D.E.C.,No,No,No
1083,4908,MLG,UST,10/23/2008 12:00:00 AM,12/9/2008 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,1586,UST NFA,MLG - WEBER STATE UNIVERSITY - D.E.C.,No,No,No
1084,704,FCT,Michael Pecorelli,2/14/1989 12:00:00 AM,4/25/2000 12:00:00 AM,> Tier 1,11.5 ft,W,NW,,0.0,Ineligible (0),0.0,0.0,1588,Tier 1 Worksheet w/ Supp. Info,FCT - OLD FRONTIER,No,No,No
1085,4451,LVR,[Melissa Turchi],3/9/2004 12:00:00 AM,3/7/2011 12:00:00 AM,< Tier 1,12 feet,N,NW,900.0,0.0,,0.0,0.0,1588,Tier 1 Worksheet w/ Supp. Info,LVR - OLD FRONTIER,No,No,No
1086,4904,MLD,Michael Pecorelli,12/1/2008 12:00:00 AM,5/13/2014 12:00:00 AM,> Tier 1,8.5-11,NW,,0.0,0.0,Eligible (100),100.0,10000.0,1588,Tier 1 Worksheet w/ Supp. Info,MLD - OLD FRONTIER,No,No,No
1087,706,GDQ,[Shelly Quick],9/17/1990 12:00:00 AM,10/31/1991 12:00:00 AM,<blank>,150ft,,,23.0,,,,,1590,<blank>,GDQ - WILLIAMS INTERNATIONAL CORP.,No,No,No
