release_priority_id,release_id,rank_date,rank_score,soil_contam_observed,gw_contam_observed,primary_coc,limited_source_rem,gw_used,gw_assess_uncertainty,vapor_intrusion_pathway,vi_assess_uncertainty,direct_contact_pathway,direct_contact_uncertainty,other_pathway_desc,other_pathway_certainty,other_pathway_likelihood,closest_receptor_well_lat,closest_receptor_well_long,impacted_well,dw_exposure_control,future_use_impaired,future_use_5yr,residual_napl,napl_migrating,ranking_narrative,created_by,created_date,updated_by,updated_date,priority_for_tribe
165,507,2013-07-10,4,Y,Y,MtBE,N,Likely,Low,Likely,Low,Likely,ERROR,surface water,Low,Likely,,,No,Yes,Yes,No,None,Yes,Re-ranked to a 4 on 7/10/13 after June 2013 site visit. Confirmed there were no nearby drinking water wells. ,,2014-02-11 10:52:23,ACF,2014-03-06 13:17:51,
166,509,2013-04-09,2,Y,Y,Benzene,Y,Not Likely,Low,Not Likely,High,Not Likely,Medium,,NA,NA,,,No,,Yes,Yes,None,No,"There are 3 OUs at the site.  OU1 is a gasoline release, OU2 is a heating oil release, and OU3 is a gasoline release.  Currently a contract is in place to design a AS/SVE system at OU3.  Soil contamination exists at the site between 6-10 ft and groundwater is contaminated.  Depth to groundwater is 6-10 ft bgs and direction of groundwater flow is to the southeast.  Extraction wells were installed on the southeast corner of the site to stop contamination offsite.   All NTUA wells are located up gradient of the site.  Buildings do not exist on the site but are located around the site up gradient.  ",,2014-02-11 10:52:23,,,
167,515,2013-03-22,3,,,ERROR,,Possible,High,Possible,High,Possible,High,,NA,NA,,,,,,,ERROR,,"The RP addressed a piping release below a dispenser, but never submitted a PCS removal report. NNEPA agreed to send EPA a letter documenting Pic-N-Run’s recalcitrance, but has not responded yet. Unknown residual contamination below the dispenser without the PCS removal report. Unknown if any drinking water wells are nearby.
",,2014-02-11 10:52:23,,,
168,524,2013-04-10,4,Y,Y,TPH-G,Y,Not Likely,Low,Possible,Low,Possible,Low,,Low,Not Likely,,,,,No,No,None,No,Two sites in maintenance yard (bus barn) with two 10k and one 6k USTs removed in 1998. Preliminary site assessment indicated soil contamination at both sites. Possible GW contamination. Some contaminated soil moved to second site where 500 gallon used oil tank was located next to a closed drinking water well. No additional cleanup activities. Four EPA letters ignored. State operated facility. Full site assessment required including borings to test GW contamination.,,2014-02-11 10:52:23,,,
169,525,2013-04-10,4,Y,Y,TPH-G,Y,Not Likely,Low,Possible,Low,Possible,Low,,Low,Not Likely,,,,,No,No,None,No,Two sites in maintenance yard (bus barn) with two 10k and one 6k USTs removed in 1998. Preliminary site assessment indicated soil contamination at both sites. Possible GW contamination. Some contaminated soil moved to second site where 500 gallon used oil tank was located next to a closed drinking water well. No additional cleanup activities. Four EPA letters ignored. State operated facility. Full site assessment required including borings to test GW contamination.,,2014-02-11 10:52:23,,,
170,544,2013-07-10,2,Y,Y,ERROR,Y,Likely,Low,Likely,Low,Likely,Low,,NA,Not Likely,,,No,Yes,Yes,No,ERROR,Yes,"Re-ranked to a 2 (or lower) on 7/10/13 after June 2013 site visit. Confirmed that there are no drinking water well on site.  However there are USTs still in the ground preventing the owner from building a house, for fear of explosion hazard. ",,2014-02-11 10:52:23,ACF,2014-03-06 13:21:26,
171,547,2013-04-19,3,Y,,Benzene,,Possible,High,Possible,High,Possible,High,,NA,NA,,,,,,,ERROR,,"In September 1995, 3 USTs were removed by the O/O (Tom Shirley). On 2/9/98, Region 9 issued an NFA letter for this site. In 2007, Warren Roan of NNEPA contacted Region 9 to express concern over reportedly elevated benzene levels in 2 soil samples from the Tank 3 excavation (45 ppm in sample S-9 and 55 ppm in S-10). Warren said NNEPA was planning to collect additional soil samples prior to RBDO issuing a new lease for the property. A 10/27/11 note in TLUST states that NNEPA will take the lead with its own funds in this post-NFA soil sampling.",,2014-02-11 10:52:23,,,
172,549,2013-04-22,5,Y,Y,TPH-G,Y,Not Likely,Low,Not Likely,Low,ERROR,Low,,Low,Not Likely,,,No,No,No,No,None,No,"Files deplete, very little data, but no information to suggest this is a high risk site.",,2014-02-11 10:52:23,,,
173,553,2013-04-10,3,Y,,Benzene,Y,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,"NNEPA removed 3 USTs on 8/7/10 with its own funds, and a release to soil was confirmed. Our data base lists BTEX, MTBE and GRO detections. On 9/1/11, NNEPA drilled borings and collected soil samples to define the extent of contamination. NNEPA has proposed the future removal of PCS.",,2014-02-11 10:52:23,,,
174,555,2013-04-10,1,Y,Y,Benzene,Y,Possible,High,Not Likely,High,Not Likely,Low,Surface water,High,Possible,,,No,Yes,Yes,Yes,Measurable,No,"Limited soil removal occurred when USTs were removed, but contaminated soil remains in place.  Both buildings on site are abandoned; therefore, vapor intrusion is not a concern.  NAPL was in one well up to 0.01 ft thick.  One drinking water well is located northeast of the site the well is used for drinking water for at least on family.  Based on the most recent groundwater monitoring report, contamination has not migrated to the well, but the well water has not been tested.  Groundwater flows northwest.  Current remediate action on the site includes on oxygen emitter installed in 2011.  The site could be built on or reoccupied in the future.  An ephemeral stream is located 200 ft east of the site and flows into Kit Sili Wash River.",,2014-02-11 10:52:23,,,
175,556,2013-02-27,2,Y,N,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,Yes,None,,"Potential exposure at receptor points:  abandoned well and springs located at the site to the north; the stream  225’ west of the tank location. Soil contamination at 10’-12’ bgs, elevated GRO (1900 ppm), BTEX, and naphthalene @ SE of the tank location (2011 data); Release was documented in 1992, contamination was at 15-18’ bgs up to 3,000 ppm TPH; well sampled at mouth and at tap- clean. Shallow groundwater is at 12’ bgs, NDs for COCs; no NAPL, no odor. RBDO wants to develop site (likely future use). 
",,2014-02-11 10:52:23,ACF,2014-03-31 13:30:01,
176,560,2013-04-04,1,Y,Y,ERROR,Y,Possible,Low,Not Likely,Medium,Not Likely,Low,,NA,NA,,,,Yes,Yes,Yes,Measurable,Yes,"Uncharacterized site with known NAPL migrating in area of local use water wells. Closest  water well known to be used for human consumption is within 1/2 mile downgradient. Unknown if well is currently impacted. No remediation has been done at the site. Up to 7 ft of NAPL measured at site.  It is estimated 14,000 gallons of gasoline was released. ",,2014-02-11 10:52:23,,,
177,561,2013-11-26,5,,,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,Email from WG to RJ: NAV-323 Gulf Tohatch A geophysical eploration conducted in 2011 indicated a possible UST next to a concrete base which may have been the dispenser island. I did not rank the site because it iis a tribal lead site. Without further information I would give it a 5`. I wrote a memo with the history of the Site. WRG ,,2014-02-11 10:52:23,,,
178,570,2013-02-27,5,Y,N,ERROR,N,Possible,High,Not Likely,Low,Not Likely,Low,surface water,Low,Not Likely,,,,,Yes,No,ERROR,No,"Potential exposure at receptor points: residences around the site, Bonito Creek 400’ SW. Soil contamination extends to 50’ bgs.  Maximum levels are at 21’ bgs-  GRO@ 9500 ppm, DRO @2600 ppm, xylenes at 660 ppm. Groundwater was not encountered at 60’ bgs; soil contamination ND at 61’ bgs. Groundwater was not impacted by the contamination.
",,2014-02-11 10:52:23,,,
179,572,2013-05-10,5,Y,N,TPH-G,Y,Likely,High,Likely,High,Not Likely,Low,,NA,NA,,,No,,No,No,ERROR,No,old USTs removed in 2005; Operating site with active USTs; Confirmed release in 2005 Soil contamination @ 5 feet bgs GRO 2100 ppm; Extent not delineated; two public domestic wells on site(?) and/or within 1/4 mile;  Groundwater at 32 feet bgs.,,2014-02-11 10:52:23,,,
180,583,2013-03-28,5,Y,N,Benzene,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,,,No,No,None,No,Soil excavation has occurred at this site and soil contamination was left in place above EPA standards in one location of the excavation.  Current groundwater monitoring data shows that no contamination exists above EPA and NNEPA standards.,,2014-02-11 10:52:23,,,
181,586,2013-04-10,3,Y,,TPH-G,Y,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,"On 11/1/05, NNEPA removed 2 USTs with its own funds, and a release to soil was confirmed. GRO and DRO appear to be the COCs. NNEPA reportedly conducted additional site assessment on 9/1/11. An OUST funding letter was reportedly drafted, but not finalized.",,2014-02-11 10:52:23,,,
183,594,2013-04-09,5,Y,Y,ERROR,Y,Possible,High,Possible,High,Possible,High,,High,Possible,,,,,Yes,No,ERROR,,"1 or 2 abandoned USTs. Unknown if there are nearby receptor points based on information from files. 
",,2014-02-11 10:52:23,,,
184,606,2013-04-09,5,Y,Y,ERROR,Y,Possible,High,Possible,High,Possible,High,,High,Possible,,,,,Yes,No,ERROR,,"2 abandoned USTs. Unknown nearby receptor points based on file information

",,2014-02-11 10:52:23,,,
185,608,2013-04-09,1,Y,Y,ERROR,Y,Possible,High,Possible,High,Possible,High,,High,Possible,,,,,Yes,No,ERROR,Yes,"Potential exposure at receptor points:  residence on site at the former store building; no water well within 1 mile of the site. 1 abandoned UST 
",,2014-02-11 10:52:23,,,
186,609,2013-07-10,3,Y,Y,Benzene,Y,Possible,Low,Possible,Low,Possible,Low,,Low,Not Likely,,,,,,,Measurable,,Re-ranked to a 3 on 7/10/13 after June 2013 site visit. Not likely to change land use in 5 years. ,,2014-02-11 10:52:23,ACF,2014-03-06 12:42:08,
187,622,2013-04-09,5,Y,Y,ERROR,Y,Possible,High,Possible,High,Possible,High,,High,Possible,,,,,Yes,No,ERROR,,"1 abandoned UST. Unknown if there are nearby receptor points based on information from files.
",,2014-02-11 10:52:23,,,
188,638,2013-03-22,3,Y,Y,Benzene,Y,Possible,Medium,Not Likely,Medium,Not Likely,Medium,,NA,NA,,,,,,,ERROR,,"From 2006-8, BERS removed 2 USTs, removed 60 cubic yards of PCS, installed 8 MWs, and did GWM. In June 2009, BERS GWM showed 2,400 ppb benzene in MW-4. GW is about 40’ bgs. The area of remaining PCS was estimated to be 0.3 acres. BERS recommended chemical oxidation for the PCS and oxygen injection for the GW. The Little Colorado River is about 2,000’ downgradient of the Site. NNEPA will conduct GWM this FY.
",,2014-02-11 10:52:23,,,
189,641,2013-04-11,5,Y,N,Benzene,Y,Not Likely,Medium,Possible,High,Not Likely,Medium,,Medium,Not Likely,,,,,,,None,N,"In 2010, NNEPA removed 4 USTs and 3 of the USTs showed releases. Our data base notes indicate that a geophysical investigation was proposed for FY09 (see EPA's 4/23/09 letter to Diane Malone). Carl Warren's 4/1/12 note in the data base states that an ATP letter to the RP should to be drafted, and that a site assessment is needed.  ",,2014-02-11 10:52:23,RJAMISON,2018-05-30 18:31:53,
190,762,2013-04-11,3,Y,,Benzene,Y,Possible,High,Possible,High,Possible,High,,NA,NA,,,,,,,ERROR,,"In 2012, NNEPA removed 4 USTs and a release was confirmed.  NNEPA will conduct site assessment work with its own trust fund, probably in 2013.",,2014-02-11 00:00:00,AFONG,2014-03-04 10:59:51,
191,656,2013-02-27,5,Y,N,Benzene,Y,Possible,High,Possible,Medium,Possible,High,,High,Possible,,,,,Yes,No,None,No,"Soil contamination at 11’ bgs:  DRO and GRO, B-X above EPA RSLs, BTEX above NNEPA standards; extent not delineated. Groundwater not encountered; average depth ~260‘ bgs. No PCS removal; Bio-fluid applied at the UST excavation and backfilled. 
",,2014-02-11 10:52:24,,,
193,658,2013-02-14,4,Y,Y,MtBE,Y,Not Likely,Medium,Not Likely,High,Not Likely,Medium,,NA,NA,,,,Yes,,,None,No,"Most recent soil and GW sampling in 2003 for four MWs.  Soil PRGs were exceeded for Ethylbenzene, 1,2,4-trimethylbenzene, and 1,3,4-trimeythylbenzene in soil sample collected at 25 ft bgs in MW-1; Benzene at 15 ft bgs in MW-1; Xylenes at 10 and 15 ft bgs in MW-1. MCLs were exceeded for benzene and MTBE in GW samples collected from MW-2, and MTBE detected at all wells (ranging from 11- 210 ug/L). Nearest water supply well: cemetery well ~1,300 ft hydrologically upgradient of site. No water supply wells located downgradient from site within 1 mile. 
",,2014-02-11 10:52:24,,,
194,662,2013-01-30,4,,,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,,,2014-02-11 10:52:24,,,
195,663,2013-01-30,5,,,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,,,2014-02-11 10:52:24,,,
196,675,2013-04-11,3,Y,,ERROR,N,Possible,High,Possible,High,Possible,High,,NA,NA,,,,,,,ERROR,,"In 2001, the Tribe removed 3 USTs and a release to soil was confirmed. Our data base indicates that the Tribe excavated 1,200 tons of PCS (or 120 tons?), which was disposed at the Salt River Landfill. Our data base also indicates that we should request a closure report from the Tribe, and check the confirmatory soil sampling results after PCS removal (possibly an NFA candidate).",,2014-02-11 10:52:24,,,
197,681,2013-03-22,3,Y,Y,Lead,N,Possible,Medium,Not Likely,Medium,Not Likely,Medium,,NA,NA,,,,,,,None,,"In 2011, the excavation pit groundwater grab sample had a total lead concentration of 190 ppb (versus the 15 ppb EPA tap water RSL). Patrick Wilson felt this concentration was high enough to warrant some form of IC. Residential areas are within 300 feet of the Site. The nearest drinking water well is approximately ¼ mile northwest of the Site and is operated by BIA. BIA's 10/30/12 sample from this well showed no VOC or lead detections. This BIA well is screened shallowly at 34-76' bgs. The groundwater flow direction is not known. The Site has a new convenience store with fuel pumps.",,2014-02-11 10:52:24,,,
198,682,2013-03-22,3,Y,Y,Lead,N,Possible,Medium,Not Likely,Medium,Not Likely,Medium,,NA,NA,,,,,,,None,,"In 2011, the excavation pit groundwater grab sample had a total lead concentration of 190 ppb (versus the 15 ppb EPA tap water RSL). Patrick Wilson felt this concentration was high enough to warrant some form of IC. Residential areas are within 300 feet of the Site. The nearest drinking water well is approximately ¼ mile northwest of the Site and is operated by BIA. BIA's 10/30/12 sample from this well showed no VOC or lead detections. This BIA well is screened shallowly at 34-76' bgs. The groundwater flow direction is not known. The Site has a new convenience store with fuel pumps.",,2014-02-11 10:52:24,,,
199,717,2013-04-09,2,N,N,ERROR,Y,Not Likely,Low,Not Likely,Low,Not Likely,ERROR,,NA,NA,,,,,Yes,Yes,ERROR,No,"One 1K gallon UST on site, inactive. No soil or groundwater data. Future use of land resource impaired: Planned development on site is on hold for two years now because of the UST. 
",,2014-02-11 10:52:24,,,
200,728,2013-04-09,5,Y,N,ERROR,Y,Not Likely,Low,Not Likely,Low,Possible,Low,,Low,Not Likely,,,,,No,No,ERROR,No,1 abandoned UST in ADOT right of way,,2014-02-11 10:52:24,,,
201,739,2013-04-11,3,Y,Y,Benzene,Y,Not Likely,Medium,Possible,Medium,Not Likely,Medium,,NA,NA,,,N,,N,N,Sheen,No,"This site currently includes a Tribally-owned operating gas station/LUST site AND a Federal-lead (Trust Fund approved) LUST site across the street. The Federal-lead LUST site should probably be assigned its own EPA ID#.  However, both sites would rank about the same (i.e., a ""3""). Both sites have soil and groundwater contamination, and the groundwater plumes appear to be stable.",,2014-02-11 10:52:24,RJAMISON,2017-08-23 17:39:05,
202,740,2013-04-11,3,Y,Y,Benzene,Y,Not Likely,Medium,Possible,Medium,Not Likely,Medium,,NA,NA,,,,,,,Sheen,No,"This site currently includes a Tribally-owned operating gas station/LUST site AND a Federal-lead (Trust Fund approved) LUST site across the street. The Federal-lead LUST site should probably be assigned its own EPA ID#.  However, both sites would rank about the same (i.e., a ""3""). Both sites have soil and groundwater contamination, and the groundwater plumes appear to be stable.",,2014-02-11 10:52:24,,,
203,759,2013-02-27,4,Y,Y,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,Yes,,ERROR,,"USACE-funded FUDS cleanup. Soil and groundwater contamination. Groundwater depth: 18’-45’ bgs, flow in southwest direction, discharges directly to the Pacific Ocean. Potential exposure to receptor points: on-site residents and workers (National Park Service), water supply wellhead at least 1 mile away , surface water (ocean). Future use of groundwater and land resource impaired:  Tribe cannot use the area for ceremonial purposes. 
",,2014-02-11 10:52:24,,,
204,763,2014-03-05,4,Y,,TPH-G,,Possible,Medium,Possible,Medium,Not Likely,Medium,,Medium,Not Likely,,,,,,,None,,"On 8/20-21/12, Tiis Ya Toh, Inc. (NEPA’s contractor) removed 5 steel USTs at the Site. PCS was found in the excavations for Tank 4 and Tank 5, and below the former dispenser area. 108 cubic yards of PCS were excavated and transported to Envirotech’s Landfarm #3. On 8/20-22/12, 12 total “confirmatory” samples were collected following the over-excavation work and analyzed for BTEX by Method 8021B, GRO/DRO by Method 8015, and total lead by Method 6010B. The maximum hydrocarbon concentrations following the over-excavation were found in the soil sample from the north end of the Tank 4 excavation at 20 feet bgs, as follows: toluene-93 ppm, ethylbenzene-87 ppm, xylene-720 ppm, GRO-3,200 ppm and DRO-850 ppm (above NNEPA’s soil cleanup standards). NNEPA used its own cleanup fund to remove the USTs, and will use its cleanup fund to further characterize the site.",CPROKOP,2014-03-05 09:47:40,CPROKOP,2014-03-05 09:50:10,
205,761,2014-03-05,3,Y,Y,Benzene,,Not Likely,Medium,Not Likely,Medium,Not Likely,Medium,,Medium,Not Likely,,,,,,,None,,"On 10/10/13, the premium UST at the Site failed its tank tightness test. In response to this, Circle K’s consultant (Blaes Environmental Management, Inc.) conducted a site assessment (10 soil samples from 2 borings) and an interim remedial measure (1 SVE well). 3 of the 10 soil samples had detectable BTEX, but below RSLs. Between 10/29/13 and 12/6/13, the single SVE well (VE1) reportedly removed 1,086 pounds of VFH (equals 185 gallons of fuel hydrocarbons). The soil borings stopped above a clay layer at 46 feet bgs, and no groundwater was encountered above the clay. On 12/18/13, Blaes installed a groundwater monitoring well (MW-1) just north of the tank farm. The single groundwater sample from 72 feet bgs in MW-1 had detectable benzene, toluene and xlyenes, but below MCLs. Blaes will install 3 more monitoring wells the week of 3/10/14. ",CPROKOP,2014-03-05 10:04:16,,,
206,609,2013-04-10,2,Y,Y,Benzene,Y,Possible,Low,Possible,Low,Possible,Low,,Low,Not Likely,,,,,,Yes,Measurable,,Free floating product in one monitoring well. An approval from HQ to utilize 250k was provided on 12/13/11.,ACF,2014-03-06 12:40:43,,,
207,389,2013-04-09,1,Y,Y,Other,Y,Possible,High,Possible,High,Not Likely,Low,Surface water,High,Possible,,,,,Y,Y,None,N,"One limited investigation of the site indicated that soil was impacted above EPA SSL and RSL levels.  PID readings indicated that soil contamination increased in the saturated zone, however, the one groundwater sampled collected did not contain contamination over laboratory detection limits. One well is located on site, but is not currently used.  A building is located on site and is in use, but not vapor intrusion study has been performed.  A small arroyo is located 250 ft east of the site. Primary COC: toluene, ethylbenzene, xylene. ",ACF,2014-03-06 13:12:57,,,
208,507,2013-04-09,1,Y,Y,MtBE,N,Likely,Low,Likely,Low,Likely,ERROR,surface water,Low,Likely,,,N,Y,Y,N,None,Y,"Potential exposure at receptor points: drinking water well within the contiguous trailer area, 300’ from USTs; San Juan River is within 500’. 	Soil contamination: TPH-GRO 420 ppm; TPH-DRO 330 ppm under the dispenser @ 2’ bgs; benzene 1 ppm underneath tank @ 12’ bgs. Groundwater contamination:  benzene 26 ppb and MTBE at 1,700 ppb underneath tank. No observed NAPL. 
",ACF,2014-03-06 13:19:47,,,
209,544,2013-04-04,1,Y,Y,ERROR,Y,Likely,Low,Likely,Low,Likely,Low,,NA,Not Likely,,,N,Y,Y,N,ERROR,Y,"2 abandoned USTs in ground. Potential exposure at receptor points:  trailer on site used for residence of owner; 2 inactive municipal water wells within one mile (depth 185- - 565’ bgs) operated by BIA for nearby school, installed in 1933. 
",ACF,2014-03-06 13:22:56,,,
213,570,2014-03-18,3,Y,N,TPH-G,Y,Possible,Low,ERROR,Low,Not Likely,Low,,Medium,Likely,,,,,Y,N,None,N,"The soil remains contaminated at 18-30 feet bgs, above the action levels.  Groundwater was not detected at 30 feet bgs.  So there is a separation of more than 10 feet below the soil contamination and water table, which may it unlikely that gw is impacted.  However the contaminated subsurface can potentially migrate,in the event of high rainfall/flooding, to greater depth and distance if left untreated.  Removing the contaminated soil will remove the source of future potential threat to receptors.",TSALIRE,2014-03-18 16:11:25,,,
211,337,2014-03-18,2,Y,Y,Benzene,N,Possible,High,Possible,High,Possible,High,,High,Possible,,,,,,,None,Y,"SUSPECTED release site within 500 ft of public water supply well. The UST is located within approximately 500 feet of a private drinking water well, and a trailer park and other residences are also located within approximately 500 feet of the Site.  The Trinity River, which is the sole source of drinking water for the Tribe, is located within ¼ mile of the Site.  ",RJAMISON,2014-03-18 15:26:19,,,
212,555,2014-03-18,3,Y,Y,Benzene,N,Likely,High,Not Likely,Low,Not Likely,Low,groundwater,Low,Possible,,,N,Y,Y,N,None,N,"Groundwater is at 20' bgs, no NAPLs, only dissolved phase petroleum detected in June 2013, above action levels.  The drinking water well across the street has been tested for TPH constituents and not impacted.  There remains soil and groundwater contamination which presents a potential future threat to the receptors if left untreated.  Groundwater should be monitored for levels of COCs and migration.   ",TSALIRE,2014-03-18 16:01:03,,,
214,593,2014-03-18,2,Y,N,Lead,N,Not Likely,Low,Not Likely,Low,Not Likely,Medium,groundwater,Medium,Possible,35.35451,109.05389,N,,Y,,ERROR,,"There's a lot of uncertainties in assessing the risks at this site as the USTs that were installed in the 1940's are still in place and had been abandoned for almost 50 years. There are at least three domestic wells near or adjacent to the UST location and residences within 100 feet.  To reduce the uncertainties and confirm risks or threat to receptors, site assessment has to be done.   Sampling the wells, especially if they are actively used, needs to be done to test for petroleum constituents.",TSALIRE,2014-03-18 16:24:35,RJAMISON,2017-06-13 16:23:49,
215,608,2014-03-18,1,Y,Y,ERROR,Y,Likely,High,Likely,High,Possible,High,groundwater,High,Possible,,,,,Y,,ERROR,,"With the high uncertainty of risks posed by the abandoned UST on site to the residents on the site, the site remained ranked as 1.  The uncertainties can be reduced and the risks better evaluated if site assessment is done.",TSALIRE,2014-03-18 16:31:42,,,
216,434,2014-04-21,2,Y,Y,Benzene,Y,Possible,Low,Possible,Low,Not Likely,Low,,Medium,Not Likely,,,N,N,N,N,Measurable,Y,"Nearby building used for child daycare center (< 100ft), hydraulically downgradient from site. NNEPA Soil Excavation (3 events) at site. Residual contamination in former UST pit area (MW-7).  No PWS near site. Drinking Water supplied by  city of Farmington. No known drinking water wells impacted, therefore site is ranked a 2. ",RJAMISON,2014-04-21 14:20:37,ACF,2014-06-10 14:31:39,
217,391,2014-06-03,3,Y,Y,Benzene,Y,Not Likely,Medium,Not Likely,Medium,Not Likely,Low,,NA,NA,,,,,N,,Sheen,N,"No human exposures. No impacted wells. Future use as a gas station not impaired. As confirmed by 2+ years of quarterly groundwater monitoring, contamination is restricted to the pea gravel surrounding 3 operating USTs. A skimmer with a product recovery pump is used to sporadically remove free product from the tank area. 697 gallons removed to date, although the LNAPL layer measured less than 0.5 inches thick after the pump wasn't used for 2.5 months to check for rebound. Ranked a 3 instead of a 4 due to uncertainty surrounding both the LNAPL source and the continued accumulation of standing water in the tank pit (4.23 feet of water, and rising, measured in March 2014).",KDIXON,2014-06-03 16:55:04,,,
218,431,2014-05-06,5,Y,N,TPH-G,N,Not Likely,Medium,Not Likely,Low,Not Likely,Medium,,NA,NA,,,,,N,N,None,N,"Active gas station where the offending tanks have been removed and the excavation filled with clean soil. Remaining BTEX, MTBE and TPH in soils are adequately characterized and in between NNEPA cleanup levels and EPA Region 9 industrial RSLs.  Furthermore, contamination is restricted to 10 (or perhaps 15) to 30 feet below ground surface, underneath an asphalt cover. More than 120 feet of sandstone bedrock separates soil contamination and groundwater, which is unlikely to be contaminated.",KDIXON,2014-06-05 16:45:53,,,
219,403,2014-06-06,4,Y,Y,Benzene,Y,Not Likely,Low,Not Likely,Medium,Not Likely,Low,,NA,NA,,,,,N,N,None,N,"Active gas station with underlying groundwater contamination. Benzene is above the MCL and MTBE is above RSLs, but groundwater contamination is stable and confined to a small area on the property. An adequate monitoring network is in place, and pending ORC injection should further reduce contaminants. No human exposurse. No NAPL. Land use not impaired.",KDIXON,2014-06-06 12:16:37,,,
220,470,2014-06-06,4,Y,Y,Benzene,N,Not Likely,Low,Not Likely,Medium,Not Likely,Low,,NA,NA,,,,,N,N,None,N,"Active gas station with groundwater contamination that extends onto the neighboring property—benzene and MTBE are the COCs. Offending tanks removed and replaced with clean soil. An established and functional GW monitoring network is sampled quarterly, while an AS/SVE system continues to operate. No human exposures. No NAPL observed in GW wells. Land uses not impaired. ",KDIXON,2014-06-06 12:48:43,,,
221,509,2014-06-06,4,Y,Y,Benzene,N,Not Likely,Low,Not Likely,Medium,Not Likely,Medium,,NA,NA,,,,,N,N,None,N,"When the AST sites next to this LUST site are removed from the equation, this site does not rank as a 2.  Soil contamination is well-defined and limited to approximately 500 square feet. Although recent GW monitoring data is not available (for the LUST portion of this site), the source has been addressed, and the plume is likely stable given its age. Any migration of contaminated GW would be onto OU2, where an AS/SVE system under construction would address it. No human exposures. No NAPL. Use of the site as a bus parking lot not impaired.",KDIXON,2014-06-06 16:27:47,,,
222,493,2014-06-10,3,Y,Y,Benzene,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,Ditch (surface water/GW/agriculture/direct contact),Medium,Possible,,,,,N,N,None,N,"Potential exposure pathway via near-site ditch (agriculture/direct contact).  Nearest public water well >15ft. Private water wells to be assessed.  MTBE above NNEPA Stds, Benzene above NNEPA stds and R9 MCLs (only in MW-18).  Ranking is driven by uncertainty in the ditch and potential existence of private water wells.  

",AFONG,2014-06-10 14:19:06,,,
223,761,2014-07-02,4,Y,N,Other,N,Not Likely,Low,Not Likely,Medium,Not Likely,Medium,,NA,NA,34.14437,-114.28664,N,,N,,None,N,Active gas station with network of monitoring wells in place and no evidence of groundwater contamination. Early deployment of a vapor extraction system has removed 732 gallons of fuel hydrocarbons and appears to have prevented the spread of contaminants beyond the immediate vicinity of the tank pit.  Future use as a gas station unlikely to be impaired. Rank 4 instead of 5 because future groundwater protection may still be dependent on operation of the SVE system (which continues to remove fuel hydrocarbons from beneath the tank pit).,KDIXON,2014-07-02 18:40:25,,,
224,312,2014-07-03,4,N,Y,MtBE,N,Not Likely,High,Not Likely,Low,Not Likely,Medium,,NA,NA,33.579779,-111.6754,,,Y,N,None,N,"Closed gas station where USTs have been removed, but MTBE plume that migrated offsite has not been characterized since 2005. Monitoring wells have gone dry or been destroyed, and the Tribe (which is the RP) does not believe anything else needs to be done in order to close the site. Although MTBE has moved offsite, no NAPL & no reasonably expected human exposures. And although data gaps exist, the plume has likely dissipated by now. Future use not likely to change in the next 5 years (a large sign for the tribal casino now takes up most of the parcel).",KDIXON,2014-07-03 15:54:51,,,
225,473,2014-09-25,4,Y,N,TPH-G,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,,Low,Not Likely,,,,,Y,N,None,N,"Low level GRO, DRO, benzene and ethylbenzene detected in soil underneath piping and USTs .  The only remaining risk is the presence of the USTs that may prevent building or excavating on the area where the USTs are, thus some impairment in the land use.  Unlikely but there might be more soil contamination underneath the USTs and can be only confirmed once they're excavated.  We are also checking if there is a functional private well on the site.",TSALIRE,2014-09-25 15:00:09,TSALIRE,2014-09-25 15:11:07,
226,581,2014-11-21,5,Y,N,Other,Y,Possible,Medium,Not Likely,Medium,Not Likely,Medium,,Medium,Not Likely,,,,,N,N,None,N,"EPA's residential RSLs for ethylbenzene (19.0 vs. 5.8 ppm) and naphthalene (26.0 vs. 3.8 ppm) were exceeded in soil samples collected from 8-10 feet bgs in soil boring SB-5 on 9/16/14 by Souder Miller Associaties (SMA). There were many other exceedances of NNEPA's soil cleanup standards since they are much lower than the residential RSLs (particulary benzene). No groundwater was encountered by SMA, and SMA estimates that groundwater may be approximately 100 feet bgs. The nearest drinking water well appears to be the Speedy's Truck Stop PWS, which is located approximately 6 miles northeast of Yellowhorse (per R. Jamison). A tributary of the mostly dry Puerco River is located greater that 0.25 mile from Yellowhorse (per R. Jamison). Based on SMA's Figures 2 & 3 (photographs), the Yellowhorse site appears to be an open lot, not in current use.",CPROKOP,2014-11-21 14:33:09,,,
